Quarter,Time,Down,ToGo,Location,CLE,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 61 yards, returned by Quintin Demps for 27 yards (tackle by Alex Hall)",0.000,1.330
1,14:54,1,10,PHI 36,0,0,Donovan McNabb pass complete short right to Brent Celek for 1 yard (tackle by Eric Wright),1.330,0.930
1,14:23,2,9,PHI 37,0,0,Brian Westbrook up the middle for 4 yards (tackle by Andra Davis),0.930,0.760
1,13:49,3,5,PHI 41,0,0,Donovan McNabb pass complete deep right to Jason Avant for 20 yards,0.760,2.980
1,13:27,1,10,CLE 39,0,0,Donovan McNabb pass complete short left to Kevin Curtis for 8 yards (tackle by Brandon McDonald),2.980,3.520
1,12:51,2,2,CLE 31,0,0,Brian Westbrook up the middle for 10 yards (tackle by Brandon McDonald),3.520,4.170
1,12:14,1,10,CLE 21,0,0,Correll Buckhalter up the middle for 4 yards (tackle by Shaun Smith),4.170,4.200
1,11:34,2,6,CLE 17,0,0,Brian Westbrook right tackle for 3 yards (tackle by Willie McGinest and D'Qwell Jackson),4.200,4.020
1,10:50,3,3,CLE 14,0,6,"Donovan McNabb pass complete short right to Kevin Curtis for 14 yards, touchdown",4.020,7.000
1,,,,CLE 2,0,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,0,7,"David Akers kicks off 64 yards, returned by Josh Cribbs for 22 yards (tackle by Chris Gocong)",0.000,0.810
1,10:38,1,10,CLE 28,0,7,Jamal Lewis up the middle for 4 yards (tackle by Trent Cole and Brodrick Bunkley),0.810,0.800
1,10:01,2,6,CLE 32,0,7,Josh Cribbs left end for 8 yards (tackle by Sheldon Brown),0.800,1.600
1,9:21,1,10,CLE 40,0,7,Ken Dorsey pass complete short left to Lawrence Vickers for 21 yards (tackle by Sheldon Brown),1.600,2.980
1,8:44,1,10,PHI 39,0,7,Jamal Lewis left tackle for -2 yards (tackle by Brian Dawkins),2.980,2.170
1,8:05,2,12,PHI 41,0,7,Ken Dorsey pass complete deep left to Braylon Edwards for 28 yards (tackle by Sheldon Brown),2.170,4.710
1,7:39,1,10,PHI 13,0,7,Jamal Lewis left tackle for 4 yards (tackle by Akeem Jordan),4.710,4.770
1,7:00,2,6,PHI 9,0,7,Ken Dorsey pass incomplete short right intended for Lawrence Vickers,4.770,3.880
1,6:56,3,6,PHI 9,0,7,Ken Dorsey pass incomplete short middle intended for Darnell Dinkins,3.880,2.850
1,6:51,4,6,PHI 9,3,7,Phil Dawson 27 yard field goal good,2.850,3.000
1,,,,CLE 30,3,7,"Phil Dawson kicks off 66 yards, returned by Quintin Demps for 39 yards (tackle by Terry Cousin)",0.000,1.800
1,6:40,1,10,PHI 43,3,7,Donovan McNabb pass complete short left to Brian Westbrook for 6 yards (tackle by Kamerion Wimbley),1.800,2.060
1,6:05,2,4,PHI 49,3,7,"Penalty on Tra Thomas: False Start, 5 yards (no play)",2.060,1.390
1,5:50,2,9,PHI 44,3,7,Brian Westbrook up the middle for 4 yards (tackle by Shaun Rogers),1.390,1.220
1,5:10,3,5,PHI 48,3,7,Donovan McNabb pass complete short middle to Jason Avant for 8 yards (tackle by Willie McGinest),1.220,2.650
1,4:37,1,10,CLE 44,3,7,Brian Westbrook left tackle for 4 yards (tackle by Willie McGinest),2.650,2.650
1,3:56,2,6,CLE 40,3,7,Donovan McNabb pass incomplete short left intended for Jason Avant,2.650,1.950
1,3:52,3,6,CLE 40,3,7,Donovan McNabb pass complete short left to DeSean Jackson for 17 yards (tackle by Eric Wright),1.950,4.040
1,3:06,1,10,CLE 23,3,7,Correll Buckhalter up the middle for 3 yards (tackle by Andra Davis and Louis Leonard),4.040,3.900
1,2:28,2,7,CLE 20,3,7,Donovan McNabb pass complete short right to L.J. Smith for 11 yards (tackle by Alex Hall),3.900,5.140
1,1:45,1,9,CLE 9,3,7,Brian Westbrook left end for 3 yards (tackle by Shaun Smith),5.140,4.950
1,1:04,2,6,CLE 6,3,7,Donovan McNabb pass incomplete short middle intended for DeSean Jackson (defended by Shaun Rogers),4.950,4.040
1,0:58,3,6,CLE 6,3,7,Donovan McNabb pass incomplete short middle intended for L.J. Smith,4.040,2.990
1,0:52,4,6,CLE 6,3,10,David Akers 24 yard field goal good,2.990,3.000
1,,,,PHI 30,3,10,"David Akers kicks off 70 yards, touchback",0.000,0.280
1,0:49,1,10,CLE 20,3,10,Jamal Lewis right tackle for 3 yards (tackle by Stewart Bradley and Akeem Jordan),0.280,0.140
1,0:10,2,7,CLE 23,3,10,Ken Dorsey pass complete short middle to Braylon Edwards for 13 yards (tackle by Brian Dawkins),0.140,1.330
Quarter,Time,Down,ToGo,Location,CLE,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 36,3,10,Jamal Lewis left end for no gain (tackle by Stewart Bradley),1.330,0.790
2,14:23,2,10,CLE 36,3,10,Josh Cribbs up the middle for -2 yards (tackle by Brian Dawkins),0.790,-0.160
2,13:34,3,12,CLE 34,3,10,Ken Dorsey pass incomplete short left intended for Steve Heiden,-0.160,-1.110
2,13:31,4,12,CLE 34,3,10,"Dave Zastudil punts 51 yards, returned by DeSean Jackson for 1 yard (tackle by Josh Cribbs)",-1.110,0.140
2,13:21,1,10,PHI 16,3,10,Brian Westbrook right tackle for 3 yards (tackle by Andra Davis),-0.140,-0.180
2,12:47,2,7,PHI 19,3,10,Donovan McNabb pass incomplete short left intended for Brian Westbrook,-0.180,-0.950
2,12:39,3,7,PHI 19,3,10,Donovan McNabb pass complete deep left to Kevin Curtis for 16 yards (tackle by D'Qwell Jackson),-0.950,1.270
