Quarter,Time,Tm,Detail,CLE,PHI
1.0,10:45,Eagles,Kevin Curtis 14 yard pass from Donovan McNabb (David Akers kick),0,7
,6:48,Browns,Phil Dawson 27 yard field goal,3,7
,0:49,Eagles,David Akers 24 yard field goal,3,10
2.0,4:45,Eagles,Asante Samuel 50 yard interception return (David Akers kick),3,17
3.0,3:34,Eagles,David Akers 34 yard field goal,3,20
4.0,14:52,Eagles,David Akers 34 yard field goal,3,23
,11:14,Eagles,Greg Lewis 10 yard pass from Donovan McNabb (David Akers kick),3,30
,9:11,Browns,Brandon McDonald 24 yard interception return (Phil Dawson kick),10,30
