Unnamed: 0,KAN,BAL
First Downs,29,16
Rush-Yds-TDs,31-132-1,21-158-0
Cmp-Att-Yd-TD-INT,31-42-385-4-0,15-28-97-1-0
Sacked-Yards,0-0,4-27
Net Pass Yards,385,70
Total Yards,517,228
Fumbles-Lost,1-1,3-1
Turnovers,1,1
Penalties-Yards,6-38,6-45
Third Down Conv.,10-13,3-9
Fourth Down Conv.,0-2,0-1
Time of Possession,33:56,26:04
