Quarter,Time,Tm,Detail,KAN,BAL
1.0,9:20,Ravens,Justin Tucker 26 yard field goal,0,3
,6:43,Chiefs,Patrick Mahomes 3 yard rush (Harrison Butker kick failed),6,3
2.0,12:52,Chiefs,Anthony Sherman 5 yard pass from Patrick Mahomes (Harrison Butker kick),13,3
,12:40,Ravens,Devin Duvernay 93 yard kickoff return (Justin Tucker kick),13,10
,6:40,Chiefs,Tyreek Hill 20 yard pass from Patrick Mahomes (Harrison Butker kick),20,10
,1:48,Chiefs,Mecole Hardman 49 yard pass from Patrick Mahomes (Harrison Butker kick),27,10
3.0,6:13,Ravens,Justin Tucker 42 yard field goal,27,13
4.0,14:55,Ravens,Nick Boyle 5 yard pass from Lamar Jackson (Justin Tucker kick),27,20
,8:14,Chiefs,Eric Fisher 2 yard pass from Patrick Mahomes (Harrison Butker kick),34,20
