Unnamed: 0,JAX,BAL
First Downs,22,16
Rush-Yds-TDs,30-173-1,32-118-0
Cmp-Att-Yd-TD-INT,24-46-231-0-3,14-28-152-2-0
Sacked-Yards,2-7,2-9
Net Pass Yards,224,143
Total Yards,397,261
Fumbles-Lost,1-0,2-2
Turnovers,3,2
Penalties-Yards,5-30,4-30
Third Down Conv.,6-16,6-14
Fourth Down Conv.,2-4,0-0
Time of Possession,32:01,27:59
