Quarter,Time,Tm,Detail,JAX,BAL
2.0,13:03,Ravens,Todd Heap 1 yard pass from Chris Redman (Matt Stover kick),0,7
,5:45,Jaguars,Fred Taylor 9 yard rush (Hayden Epstein kick),7,7
3.0,9:16,Ravens,Matt Stover 30 yard field goal,7,10
,0:41,Ravens,Todd Heap 20 yard pass from Chris Redman (Matt Stover kick),7,17
4.0,2:30,Jaguars,Hayden Epstein 22 yard field goal,10,17
