Quarter,Time,Tm,Detail,IND,LVR
1.0,8:52,Colts,Rodrigo Blankenship 25 yard field goal,3,0
,2:59,Colts,T.Y. Hilton 7 yard pass from Philip Rivers (Rodrigo Blankenship kick),10,0
,0:09,Raiders,Foster Moreau 47 yard pass from Derek Carr (Daniel Carlson kick),10,7
2.0,10:38,Raiders,Nelson Agholor 21 yard pass from Derek Carr (Daniel Carlson kick),10,14
,9:03,Colts,T.Y. Hilton 41 yard pass from Philip Rivers (Rodrigo Blankenship kick),17,14
,0:00,Colts,Rodrigo Blankenship 20 yard field goal,20,14
3.0,9:41,Raiders,Daniel Carlson 25 yard field goal,20,17
,7:27,Colts,Jonathan Taylor 62 yard rush (Rodrigo Blankenship kick),27,17
,0:13,Raiders,Daniel Carlson 23 yard field goal,27,20
4.0,9:23,Colts,Jonathan Taylor 3 yard rush (Rodrigo Blankenship kick),34,20
,6:50,Colts,Rodrigo Blankenship 35 yard field goal,37,20
,5:22,Colts,Khari Willis 50 yard interception return (Rodrigo Blankenship kick),44,20
,0:55,Raiders,Derek Carr 5 yard rush (Daniel Carlson kick),44,27
