Quarter,Time,Down,ToGo,Location,IND,LVR,Detail,EPB,EPA
2,13:06,3,3,LVR 35,10,7,Derek Carr pass complete deep right to Nelson Agholor for 36 yards (tackle by T.J. Carrie),0.500,3.640
2,12:47,1,10,IND 29,10,7,Devontae Booker right tackle for 3 yards (tackle by Khari Willis),3.640,3.510
2,12:05,2,7,IND 26,10,7,Derek Carr pass complete short right to Josh Jacobs for 8 yards (tackle by Darius Leonard and Anthony Walker),3.510,4.370
2,11:25,1,10,IND 18,10,7,Josh Jacobs left tackle for -3 yards (tackle by Darius Leonard),4.370,3.420
2,10:43,2,13,IND 21,10,13,"Derek Carr pass complete deep middle to Nelson Agholor for 21 yards, touchdown",3.420,7.000
2,10:38,,,IND 15,10,14,Daniel Carlson kicks extra point good,0.000,0.000
2,10:38,,,LVR 35,10,14,"Daniel Carlson kicks off 64 yards, returned by Isaiah Rodgers for 31 yards (tackle by Johnathan Abram)",0.000,1.070
2,10:30,1,10,IND 32,10,14,Jonathan Taylor right tackle for 4 yards (tackle by Johnathan Hankins),1.070,1.070
2,9:53,2,6,IND 36,10,14,Philip Rivers pass complete deep left to Michael Pittman for 23 yards (tackle by Nevin Lawson),1.070,2.850
2,9:10,1,10,LVR 41,16,14,"Philip Rivers pass complete deep left to T.Y. Hilton for 41 yards, touchdown, touchdown",2.850,7.000
2,9:03,,,LVR 15,17,14,Rodrigo Blankenship kicks extra point good,0.000,0.000
2,9:03,,,IND 35,17,14,"Rodrigo Blankenship kicks off 65 yards, touchback.",0.000,0.610
2,9:03,1,10,LVR 25,17,14,Derek Carr pass complete short middle to Josh Jacobs for 3 yards (tackle by Kenny Moore),0.610,0.470
2,8:25,,,,,,Timeout #1 by Las Vegas Raiders,,
2,8:25,2,7,LVR 28,17,14,Josh Jacobs left guard for 3 yards (tackle by Darius Leonard),0.470,0.170
2,7:50,3,4,LVR 31,17,14,Derek Carr pass complete short middle to Hunter Renfrow for 7 yards (tackle by Bobby Okereke),0.170,1.470
2,7:11,1,10,LVR 38,17,14,Derek Carr pass complete short middle to Henry Ruggs for 6 yards (tackle by Darius Leonard),1.470,1.730
2,6:23,2,4,LVR 44,17,14,Josh Jacobs left tackle for -3 yards (tackle by Tyquan Lewis),1.730,0.630
2,5:40,3,7,LVR 41,17,14,"Derek Carr pass complete short left to Darren Waller for 29 yards (tackle by Kenny Moore). Penalty on Kenny Moore: Horse Collar Tackle, 15 yards",0.630,4.580
2,5:07,1,10,IND 15,17,14,Josh Jacobs right end for no gain (tackle by DeForest Buckner and T.J. Carrie),4.580,3.950
2,4:18,2,10,IND 15,17,14,Josh Jacobs right tackle for 2 yards (tackle by Al-Quadin Muhammad),3.950,3.400
2,3:35,3,8,IND 13,17,14,Derek Carr pass short left intended for Darren Waller is intercepted by Kenny Moore at IND-0 and returned for no gain,3.400,-0.280
2,3:30,1,10,IND 20,17,14,Philip Rivers pass incomplete deep left intended for Zach Pascal (defended by Erik Harris),0.280,-0.270
2,3:23,2,10,IND 20,17,14,Philip Rivers pass complete short left to Jonathan Taylor for -5 yards (tackle by Nicholas Morrow),-0.270,-1.860
2,2:40,3,15,IND 15,17,14,"Philip Rivers pass incomplete short right. Penalty on Trayvon Mullen: Defensive Holding, 5 yards (no play)",-1.860,0.280
2,2:32,1,10,IND 20,17,14,Philip Rivers pass complete short middle to Mo Alie-Cox for 9 yards (tackle by Lamarcus Joyner),0.280,0.950
2,2:02,2,1,IND 29,17,14,"Penalty on Johnathan Hankins: Encroachment, 6 yards (no play)",0.950,1.270
2,2:00,1,10,IND 35,17,14,Jonathan Taylor right guard for 2 yards (tackle by Nick Kwiatkoski),1.270,0.990
2,1:40,2,8,IND 37,17,14,Philip Rivers pass complete short right to Jack Doyle for 7 yards (tackle by Trayvon Mullen),0.990,1.220
2,1:08,3,1,IND 44,17,14,"Penalty on Michael Pittman: False Start, 5 yards (no play)",1.220,0.560
2,0:44,3,6,IND 39,17,14,Philip Rivers pass complete deep right to Zach Pascal for 27 yards (tackle by Nevin Lawson),0.560,3.310
2,0:36,,,,,,Timeout #1 by Indianapolis Colts,,
2,0:36,1,10,LVR 34,17,14,Philip Rivers pass incomplete short right,3.310,2.770
2,0:32,2,10,LVR 34,17,14,Philip Rivers pass incomplete deep left intended for T.Y. Hilton (defended by Lamarcus Joyner),2.770,2.080
2,0:27,3,10,LVR 34,17,14,Jonathan Taylor right guard for 15 yards (tackle by Johnathan Abram),2.080,4.310
2,0:18,,,,,,Timeout #2 by Indianapolis Colts,,
2,0:18,1,10,LVR 19,17,14,Philip Rivers pass complete short right to Nyheim Hines for 6 yards (tackle by Nicholas Morrow),4.310,4.720
2,0:11,2,4,LVR 13,17,14,Philip Rivers pass incomplete short middle intended for Michael Pittman (defended by Nicholas Morrow),4.720,3.960
2,0:07,3,4,LVR 13,17,14,Nyheim Hines right guard for 11 yards (tackle by Trayvon Mullen),3.960,6.740
2,0:01,,,,,,Timeout #3 by Indianapolis Colts,,
2,0:01,1,2,LVR 2,20,14,Rodrigo Blankenship 20 yard field goal good,6.740,3.000
Quarter,Time,Down,ToGo,Location,IND,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,20,14,"Rodrigo Blankenship kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LVR 25,20,14,Derek Carr pass incomplete deep right intended for Nelson Agholor (defended by Khari Willis),0.610,0.060
3,14:53,2,10,LVR 25,20,14,Derek Carr pass incomplete short left intended for Josh Jacobs,0.060,-0.620
3,14:46,3,10,LVR 25,20,14,Derek Carr pass complete short left to Hunter Renfrow for 10 yards (tackle by Julian Blackmon and Bobby Okereke),-0.620,1.270
3,13:59,1,10,LVR 35,20,14,Devontae Booker right guard for 1 yard (tackle by Grover Stewart),1.270,0.860
3,13:17,2,9,LVR 36,20,14,Derek Carr pass complete short middle to Darren Waller for 15 yards (tackle by Khari Willis),0.860,2.320
3,12:39,1,10,IND 49,20,14,Josh Jacobs right guard for 6 yards (tackle by Anthony Walker and Darius Leonard),2.320,2.590
3,12:00,2,4,IND 43,20,14,Derek Carr right tackle for 5 yards (tackle by Khari Willis),2.590,3.050
3,11:27,1,10,IND 38,20,14,Derek Carr pass incomplete deep right intended for Darren Waller,3.050,2.510
3,11:22,2,10,IND 38,20,14,Zay Jones pass complete deep right to Nelson Agholor for 29 yards (tackle by Rock Ya-Sin),2.510,5.140
3,10:36,1,9,IND 9,20,14,Josh Jacobs right guard for 2 yards (tackle by Justin Houston and Khari Willis),5.140,4.760
3,9:56,2,7,IND 7,20,14,Derek Carr pass incomplete short right,4.760,3.810
3,9:49,3,7,IND 7,20,14,Derek Carr pass incomplete short right intended for Nelson Agholor (defended by Rock Ya-Sin),3.810,2.970
3,9:45,4,7,IND 7,20,17,Daniel Carlson 25 yard field goal good,2.970,3.000
3,9:41,,,LVR 35,20,17,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,9:41,1,10,IND 25,20,17,Philip Rivers pass incomplete short left intended for Jordan Wilkins,0.610,0.060
3,9:36,2,10,IND 25,20,17,Philip Rivers pass complete short middle to Jack Doyle for 9 yards (tackle by Nicholas Morrow and Nick Kwiatkoski),0.060,0.560
3,8:50,3,1,IND 34,20,17,Jordan Wilkins left end for 3 yards (tackle by Johnathan Abram and Nick Kwiatkoski),0.560,1.400
3,8:13,1,10,IND 37,20,17,Jonathan Taylor left guard for 1 yard (tackle by Johnathan Abram and Nick Kwiatkoski),1.400,0.990
3,7:36,2,9,IND 38,26,17,"Jonathan Taylor right tackle for 62 yards, touchdown",0.990,7.000
3,7:27,,,LVR 15,27,17,Rodrigo Blankenship kicks extra point good,0.000,0.000
3,7:27,,,IND 35,27,17,"Rodrigo Blankenship kicks off 65 yards, touchback.",0.000,0.610
3,7:27,1,10,LVR 25,27,17,Josh Jacobs left guard for 3 yards (tackle by DeForest Buckner),0.610,0.470
3,6:45,2,7,LVR 28,27,17,Derek Carr pass complete short left to Henry Ruggs for 6 yards (tackle by Xavier Rhodes and Darius Leonard),0.470,0.560
3,6:11,3,1,LVR 34,27,17,Derek Carr right guard for 2 yards (tackle by DeForest Buckner),0.560,1.330
3,5:37,1,10,LVR 36,27,17,Josh Jacobs right tackle for no gain (tackle by DeForest Buckner),1.330,0.790
3,5:10,2,10,LVR 36,27,17,Derek Carr pass complete short middle to Josh Jacobs for 14 yards (tackle by Kenny Moore),0.790,2.260
3,4:28,1,10,LVR 50,27,17,Derek Carr pass complete short left to Darren Waller for 5 yards (tackle by Kenny Moore),2.260,2.390
3,3:46,2,5,IND 45,27,17,Derek Carr pass complete short left to Hunter Renfrow for 8 yards (tackle by Bobby Okereke),2.390,3.120
3,3:09,1,10,IND 37,27,17,Derek Carr pass incomplete short middle intended for Josh Jacobs,3.120,2.570
3,3:05,2,10,IND 37,27,17,Derek Carr pass complete short right to Nelson Agholor for 9 yards (tackle by Bobby Okereke),2.570,3.070
3,2:18,3,1,IND 28,27,17,Josh Jacobs left end for 18 yards (tackle by Julian Blackmon),3.070,4.910
3,1:35,1,10,IND 10,27,17,Derek Carr pass complete short right to Alec Ingold for no gain (tackle by Darius Leonard),4.910,4.190
3,0:55,2,10,IND 10,27,17,Derek Carr pass incomplete short left intended for Nelson Agholor,4.190,3.130
3,0:49,3,10,IND 10,27,17,Derek Carr pass complete short right to Nelson Agholor for 5 yards (tackle by Rock Ya-Sin),3.130,3.010
3,0:17,4,5,IND 5,27,20,Daniel Carlson 23 yard field goal good,3.010,3.000
3,0:13,,,LVR 35,27,20,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,0:13,1,10,IND 25,27,20,Jonathan Taylor right guard for no gain (tackle by Johnathan Hankins),0.610,0.060
Quarter,Time,Down,ToGo,Location,IND,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,IND 25,27,20,Philip Rivers pass complete short left to T.Y. Hilton for 14 yards (tackle by Johnathan Abram),0.060,1.530
4,14:16,1,10,IND 39,27,20,Jonathan Taylor right guard for 1 yard (tackle by Maurice Hurst),1.530,1.120
4,13:34,2,9,IND 40,27,20,Philip Rivers pass complete short left to Nyheim Hines for 4 yards (tackle by Nicholas Morrow and Johnathan Abram),1.120,0.960
4,12:50,3,5,IND 44,27,20,Philip Rivers pass complete short right to T.Y. Hilton for 7 yards (tackle by Lamarcus Joyner),0.960,2.320
4,12:10,1,10,LVR 49,27,20,Michael Pittman left end for 3 yards (tackle by Kendal Vickers and Nicholas Morrow),2.320,2.190
4,11:43,2,7,LVR 46,27,20,Nyheim Hines left tackle for 31 yards (tackle by Johnathan Abram),2.190,4.580
4,11:04,1,10,LVR 15,27,20,Jonathan Taylor left guard for 3 yards (tackle by Nick Kwiatkoski),4.580,4.450
4,10:22,2,7,LVR 12,27,20,Jonathan Taylor left guard for 5 yards (tackle by Maurice Hurst and Cory Littleton),4.450,4.680
4,9:40,3,2,LVR 7,27,20,"Penalty on Raekwon McMillan: Neutral Zone Infraction, 4 yards (no play)",4.680,6.510
4,9:27,1,3,LVR 3,33,20,"Jonathan Taylor right tackle for 3 yards, touchdown",6.510,7.000
4,9:23,,,LVR 15,34,20,"Rodrigo Blankenship kicks extra point good. Penalty on Trayvon Mullen: Defensive Offside, 5 yards",0.000,0.000
4,9:23,,,IND 40,34,20,"Rodrigo Blankenship kicks off 60 yards, touchback.",0.000,0.610
4,9:23,1,10,LVR 25,34,20,"Derek Carr pass complete short left to Hunter Renfrow for no gain (tackle by Kenny Moore). Hunter Renfrow fumbles (forced by Kenny Moore), recovered by Taylor Stallworth at LV-26",0.610,-3.840
4,9:15,1,10,LVR 26,34,20,Jonathan Taylor right guard for 1 yard (tackle by Erik Harris and Johnathan Hankins),3.840,3.430
4,8:35,2,9,LVR 25,34,20,Jonathan Taylor left end for 1 yard (tackle by Maurice Hurst and Johnathan Abram),3.430,2.870
4,7:44,3,8,LVR 24,34,20,"Penalty on Quenton Nelson: False Start, 5 yards (no play)",2.870,2.210
4,7:44,3,13,LVR 29,34,20,Jonathan Taylor left guard for 12 yards (tackle by Nevin Lawson and Erik Harris),2.210,2.460
4,6:55,,,,,,Timeout #1 by Indianapolis Colts,,
4,6:55,4,1,LVR 17,37,20,Rodrigo Blankenship 35 yard field goal good,2.460,3.000
4,6:50,,,IND 35,37,20,"Rodrigo Blankenship kicks off 65 yards, touchback.",0.000,0.610
4,6:50,1,10,LVR 25,37,20,Derek Carr pass complete short right to Jalen Richard for 11 yards (tackle by Darius Leonard),0.610,1.330
4,6:27,1,10,LVR 36,37,20,Derek Carr pass complete short right to Jalen Richard for 9 yards (tackle by Darius Leonard),1.330,2.010
4,6:02,2,1,LVR 45,37,20,Derek Carr pass complete short right to Jalen Richard for 3 yards (tackle by Rock Ya-Sin),2.010,2.130
4,5:32,1,10,LVR 48,43,20,"Derek Carr pass short right intended for Jalen Richard is intercepted by Khari Willis at 50 and returned for 50 yards, touchdown",2.130,-7.000
4,5:22,,,LVR 15,44,20,Rodrigo Blankenship kicks extra point good,0.000,0.000
4,5:22,,,IND 35,44,20,"Rodrigo Blankenship kicks off 65 yards, touchback.",0.000,0.610
4,5:22,1,10,LVR 25,44,20,Jalen Richard right guard for 6 yards (tackle by Kemoko Turay),0.610,0.870
4,4:51,2,4,LVR 31,44,20,Jalen Richard right guard for 4 yards (tackle by Bobby Okereke),0.870,1.270
4,4:27,1,10,LVR 35,44,20,Derek Carr pass complete short left to Jalen Richard for 8 yards (tackle by Anthony Walker),1.270,1.800
4,4:00,2,2,LVR 43,44,20,Derek Carr pass complete short middle to Hunter Renfrow for 13 yards (tackle by Anthony Walker),1.800,2.650
4,3:31,1,10,IND 44,44,20,Derek Carr pass complete short right to Devontae Booker for 4 yards (tackle by Anthony Walker and Tavon Wilson),2.650,2.650
4,2:57,2,6,IND 40,44,20,Derek Carr pass incomplete deep middle intended for Darren Waller (defended by Bobby Okereke),2.650,1.950
4,2:52,3,6,IND 40,44,20,Derek Carr pass complete short right to Darren Waller for 7 yards (tackle by Anthony Walker and Tavon Wilson),1.950,3.380
4,2:22,1,10,IND 33,44,20,"Derek Carr pass complete short right to Devontae Booker for 3 yards (tackle by Tavon Wilson). Penalty on Tavon Wilson: Lowering the Head to Initiate Contact, 15 yards",3.380,4.580
4,2:12,1,10,IND 15,44,20,Devontae Booker left tackle for -2 yards (tackle by T.J. Carrie),4.580,3.680
4,2:00,2,12,IND 17,44,20,Derek Carr pass complete short left to Devontae Booker for 4 yards (tackle by Isaiah Rodgers and Anthony Walker),3.680,3.400
4,1:32,3,8,IND 13,44,20,Derek Carr pass complete short left to Darren Waller for 8 yards (tackle by Anthony Walker),3.400,6.060
4,1:08,1,5,IND 5,44,20,Derek Carr pass incomplete short left intended for Hunter Renfrow,6.060,5.150
4,1:04,2,5,IND 5,44,26,"Derek Carr left end for 5 yards, touchdown",5.150,7.000
4,0:55,,,IND 15,44,27,Daniel Carlson kicks extra point good,0.000,0.000
4,0:55,,,LVR 35,44,27,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,0:55,1,10,IND 25,44,27,Jacoby Brissett kneels for -1 yards,0.610,-0.070
4,0:38,2,11,IND 24,44,27,Jacoby Brissett kneels for -1 yards,-0.070,-0.890
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
