Unnamed: 0,IND,LVR
First Downs,25,26
Rush-Yds-TDs,31-212-2,22-79-1
Cmp-Att-Yd-TD-INT,19-28-244-2-0,32-46-345-2-2
Sacked-Yards,0-0,0-0
Net Pass Yards,244,345
Total Yards,456,424
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,6-50,6-33
Third Down Conv.,8-11,8-12
Fourth Down Conv.,0-0,0-0
Time of Possession,28:35,31:25
