Unnamed: 0,MIA,BUF
First Downs,29,18
Rush-Yds-TDs,24-108-2,36-266-3
Cmp-Att-Yd-TD-INT,27-36-316-0-0,11-12-181-1-0
Sacked-Yards,2-27,3-27
Net Pass Yards,289,154
Total Yards,397,420
Fumbles-Lost,3-1,0-0
Turnovers,1,0
Penalties-Yards,8-62,13-94
Third Down Conv.,4-9,8-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:47,31:13
