Unnamed: 0,DET,WAS
First Downs,21,13
Rush-Yds-TDs,32-175-0,24-86-0
Cmp-Att-Yd-TD-INT,20-33-207-1-3,13-30-156-0-1
Sacked-Yards,6-18,3-12
Net Pass Yards,189,144
Total Yards,364,230
Fumbles-Lost,2-1,1-1
Turnovers,4,2
Penalties-Yards,6-65,8-63
Third Down Conv.,6-15,4-14
Fourth Down Conv.,0-0,0-0
Time of Possession,33:30,26:30
