Quarter,Time,Down,ToGo,Location,DET,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Matt Prater kicks off 54 yards, returned by Steven Sims for 33 yards (tackle by Mike Ford)",0.000,1.860
1,14:50,1,10,WAS 44,0,0,Adrian Peterson up the middle for 1 yard (tackle by A'Shawn Robinson),1.860,1.450
1,14:11,2,9,WAS 45,0,0,Adrian Peterson left end for 1 yard (tackle by Tavon Wilson),1.450,0.890
1,13:29,3,8,WAS 46,0,0,"Dwayne Haskins sacked by Devon Kennard for no gain. Dwayne Haskins fumbles (forced by Devon Kennard), recovered by Tavon Wilson at DET-48 and returned for 14 yards (tackle by Jeremy Sprinkle)",0.890,-3.050
1,13:16,1,10,WAS 38,0,0,Bo Scarbrough right guard for 5 yards (tackle by Ryan Kerrigan and Cole Holcomb),3.050,3.180
1,12:42,2,5,WAS 33,0,0,Jeff Driskel pass complete short middle to Danny Amendola for 8 yards (tackle by Cole Holcomb),3.180,3.910
1,12:01,1,10,WAS 25,0,0,Bo Scarbrough right guard for 1 yard (tackle by Tim Settle and Ryan Kerrigan),3.910,3.500
1,11:24,2,9,WAS 24,0,0,Bo Scarbrough right end for -2 yards (tackle by Jonathan Bostic),3.500,2.540
1,10:44,3,11,WAS 26,0,0,Jeff Driskel pass complete short right to Ty Johnson for 5 yards (tackle by Fabian Moreau),2.540,2.080
1,9:57,4,6,WAS 21,0,0,Matt Prater 39 yard field goal no good,2.080,-0.940
1,9:52,1,10,WAS 30,0,0,Dwayne Haskins pass complete short left to Jeremy Sprinkle for 4 yards (tackle by Romeo Okwara),0.940,0.930
1,9:11,2,6,WAS 34,0,0,Adrian Peterson left guard for 7 yards (tackle by Jarrad Davis and John Atkins),0.930,1.660
1,8:35,1,10,WAS 41,0,0,Dwayne Haskins pass incomplete deep left intended for Terry McLaurin,1.660,1.120
1,8:29,2,10,WAS 41,0,0,Derrius Guice left end for no gain (tackle by Romeo Okwara),1.120,0.430
1,7:51,3,10,WAS 41,0,0,Dwayne Haskins left end for 18 yards (tackle by Jarrad Davis),0.430,2.850
1,7:05,1,10,DET 41,0,0,Dwayne Haskins pass complete short left to Terry McLaurin for 4 yards (tackle by Amani Oruwariye),2.850,2.850
1,6:25,2,6,DET 37,0,0,Adrian Peterson left end for -3 yards (tackle by Jahlani Tavai),2.850,1.750
1,5:28,3,9,DET 40,0,0,Dwayne Haskins pass complete short middle to Terry McLaurin for 10 yards (tackle by Darius Slay and Tavon Wilson),1.750,3.580
1,4:50,1,10,DET 30,0,0,Derrius Guice up the middle for 6 yards (tackle by A'Shawn Robinson),3.580,3.840
1,4:14,2,4,DET 24,0,0,Dwayne Haskins pass complete short left to Kelvin Harmon for 12 yards (tackle by Amani Oruwariye),3.840,4.780
1,3:29,1,10,DET 12,0,0,Derrius Guice left tackle for 2 yards (tackle by Jarrad Davis),4.780,4.450
1,2:44,2,8,DET 10,0,0,Dwayne Haskins pass incomplete short left intended for Terry McLaurin,4.450,3.480
1,2:39,3,8,DET 10,0,0,Dwayne Haskins pass incomplete short right intended for Steven Sims,3.480,2.760
1,2:34,4,8,DET 10,0,3,Dustin Hopkins 28 yard field goal good,2.760,3.000
1,2:31,,,WAS 35,0,0,"Dustin Hopkins kicks off 66 yards, returned by Ty Johnson for 25 yards (tackle by Josh Harvey-Clemons and Troy Apke)",0.000,0.540
1,2:25,1,10,DET 24,0,0,Jeff Driskel pass incomplete short left intended for Bo Scarbrough (defended by Montez Sweat),0.540,0.000
1,2:18,2,10,DET 24,0,0,Jeff Driskel right end for 18 yards (tackle by Cole Holcomb),0.000,1.730
1,1:39,1,10,DET 42,0,0,Jeff Driskel pass complete short right to Danny Amendola for 2 yards (tackle by Jimmy Moreland and Cole Holcomb),1.730,1.460
1,0:57,2,8,DET 44,0,0,Bo Scarbrough left end for 8 yards (tackle by Montae Nicholson),1.460,2.390
1,0:12,1,10,WAS 48,0,0,Bo Scarbrough left guard for 3 yards (tackle by Ryan Anderson),2.390,2.250
Quarter,Time,Down,ToGo,Location,DET,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,14:21,2,7,WAS 45,0,0,Jeff Driskel pass complete short left to Kenny Golladay for 34 yards (tackle by Montae Nicholson and Cole Holcomb),2.250,4.840
2,14:21,1,10,WAS 11,0,0,Ty Johnson right tackle for 4 yards (tackle by Jonathan Allen),4.840,4.890
2,13:50,2,6,WAS 7,0,0,Jeff Driskel right end for 2 yards (tackle by Cole Holcomb),4.890,4.440
2,13:16,3,4,WAS 5,0,3,Jeff Driskel pass incomplete short left,4.440,3.010
2,13:12,4,4,WAS 5,3,3,Matt Prater 24 yard field goal good,3.010,3.000
2,13:09,,,DET 35,3,9,"Matt Prater kicks off 59 yards, muffed catch by Steven Sims returned by Steven Sims for 91 yards, touchdown",0.000,7.000
2,12:54,,,DET 15,3,10,Dustin Hopkins kicks extra point good,0.000,0.000
2,12:54,,,WAS 35,3,10,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,12:54,1,10,DET 25,3,10,Jeff Driskel pass incomplete deep middle,0.610,0.060
2,12:48,2,10,DET 25,3,10,Jeff Driskel sacked by Matthew Ioannidis for -1 yards,0.060,-0.760
2,12:03,3,11,DET 24,3,10,Jeff Driskel pass complete deep middle to Marvin Hall for 21 yards (tackle by Landon Collins),-0.760,1.930
2,11:22,1,10,DET 45,3,10,Jeff Driskel pass deep right intended for Marvin Hall is intercepted by Fabian Moreau at WAS-11 and returned for no gain,1.930,0.370
2,11:12,1,10,WAS 11,3,10,Adrian Peterson right end for 3 yards (tackle by Jarrad Davis and Christian Jones),-0.370,-0.530
2,10:46,2,7,WAS 14,3,10,Dwayne Haskins pass incomplete deep left intended for Terry McLaurin,-0.530,-1.070
2,10:39,3,7,WAS 14,3,10,Dwayne Haskins pass incomplete short left intended for Jeremy Sprinkle,-1.070,-2.470
