Quarter,Time,Tm,Detail,DET,WAS
1.0,2:31,Redskins,Dustin Hopkins 28 yard field goal,0,3
2.0,13:09,Lions,Matt Prater 24 yard field goal,3,3
,12:54,Redskins,Steven Sims 91 yard kickoff return (Dustin Hopkins kick),3,10
,5:44,Redskins,Dustin Hopkins 37 yard field goal,3,13
,0:14,Lions,Matt Prater 49 yard field goal,6,13
3.0,10:03,Lions,Logan Thomas 12 yard pass from Jeff Driskel (Matt Prater kick),13,13
4.0,12:01,Lions,Matt Prater 21 yard field goal,16,13
,1:49,Redskins,Dustin Hopkins 42 yard field goal,16,16
,0:16,Redskins,Dustin Hopkins 39 yard field goal,16,19
