Quarter,Time,Tm,Detail,HOU,NYJ
1.0,4:30,Jets,Doug Brien 41 yard field goal,0,3
2.0,10:13,Jets,Doug Brien 26 yard field goal,0,6
,4:45,Texans,Domanick Williams 2 yard rush (Kris Brown kick),7,6
3.0,7:59,Jets,Curtis Martin 4 yard rush (Doug Brien kick),7,13
4.0,13:30,Jets,Curtis Martin 5 yard pass from Chad Pennington (pass failed),7,19
,9:05,Jets,Anthony Becht 2 yard pass from Chad Pennington (Doug Brien kick),7,26
,2:09,Jets,Doug Brien 25 yard field goal,7,29
