Unnamed: 0,SDG,OAK
First Downs,26,14
Rush-Yds-TDs,44-176-2,14-53-0
Cmp-Att-Yd-TD-INT,18-35-226-1-0,18-31-227-2-0
Sacked-Yards,0-0,1-7
Net Pass Yards,226,220
Total Yards,402,273
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,9-80,8-76
Third Down Conv.,9-16,3-10
Fourth Down Conv.,0-0,0-0
Time of Possession,38:26,21:34
