Quarter,Time,Down,ToGo,Location,SDG,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 55 yards, returned by Tim Dwight for 12 yards (tackle by Teyo Johnson)",0.000,0.740
1,14:56,1,10,SDG 27,0,0,Drew Brees pass incomplete intended for LaDainian Tomlinson (defended by Bobby Hamilton),0.740,0.200
1,14:51,2,10,SDG 27,0,0,LaDainian Tomlinson right end for 8 yards (tackle by Charles Woodson),0.200,0.560
1,14:20,3,2,SDG 35,0,0,Drew Brees pass complete to Antonio Gates for 23 yards (tackle by Danny Clark),0.560,2.790
1,13:49,1,10,OAK 42,0,0,LaDainian Tomlinson right end for 2 yards (tackle by Tyler Brayton and Bobby Hamilton),2.790,2.510
1,13:09,2,8,OAK 40,0,0,Drew Brees pass complete to Keenan McCardell for 11 yards (tackle by Marques Anderson),2.510,3.640
1,12:25,1,10,OAK 29,0,0,LaDainian Tomlinson left end for -2 yards (tackle by Warren Sapp),3.640,2.830
1,11:42,2,12,OAK 31,0,0,Drew Brees pass incomplete intended for Keenan McCardell,2.830,2.150
1,11:37,3,12,OAK 31,0,0,"Drew Brees pass incomplete. Penalty on Charles Woodson: Defensive Holding, 5 yards (no play)",2.150,3.840
1,11:32,1,10,OAK 26,0,0,LaDainian Tomlinson pass incomplete intended for Keenan McCardell,3.840,3.300
1,11:27,2,10,OAK 26,0,0,Drew Brees pass incomplete intended for Keenan McCardell,3.300,2.610
1,11:22,3,10,OAK 26,0,0,Drew Brees pass complete to Keenan McCardell for 11 yards (tackle by Jarrod Cooper),2.610,4.580
1,10:36,1,10,OAK 15,0,0,LaDainian Tomlinson up the middle for -2 yards (tackle by Napoleon Harris),4.580,3.680
1,9:55,2,12,OAK 17,0,0,LaDainian Tomlinson up the middle for 6 yards (tackle by Stuart Schweigert and Napoleon Harris),3.680,3.780
1,9:11,3,6,OAK 11,6,0,"Drew Brees pass complete to Antonio Gates for 11 yards, touchdown",3.780,7.000
1,,,,OAK 2,6,0,Nate Kaeding kicks extra point no good,0.000,-1.000
1,,,,SDG 30,6,0,"Nate Kaeding kicks off 60 yards, returned by Doug Gabriel for 4 yards (tackle by Shaun Phillips)",0.000,-0.280
1,9:00,1,10,OAK 14,6,0,Tyrone Wheatley up the middle for 4 yards (tackle by Jamal Williams),-0.280,-0.210
1,8:22,2,6,OAK 18,6,0,Kerry Collins pass incomplete intended for Jerry Porter,-0.210,-0.920
1,8:20,3,6,OAK 18,6,0,Kerry Collins pass incomplete intended for Doug Jolley,-0.920,-2.240
1,8:15,4,6,OAK 18,6,0,Shane Lechler punts 49 yards,-2.240,-1.140
1,8:02,1,10,SDG 33,6,0,Drew Brees pass complete to Eric Parker for 8 yards (tackle by Denard Walker),1.140,1.670
1,7:22,2,2,SDG 41,6,0,LaDainian Tomlinson right guard for 12 yards (tackle by Ray Buchanan),1.670,2.460
1,6:45,1,10,OAK 47,6,0,LaDainian Tomlinson up the middle for 2 yards (tackle by Ted Washington),2.460,2.180
1,6:03,2,8,OAK 45,6,0,Drew Brees pass incomplete intended for Eric Parker (defended by Phillip Buchanon),2.180,1.490
1,5:59,,,,6,0,Timeout #1 by San Diego Chargers,0.000,1.490
1,5:59,3,8,OAK 45,6,0,Drew Brees pass incomplete intended for Keenan McCardell,1.490,0.270
1,5:55,4,8,OAK 45,6,0,"Mike Scifres punts 32 yards, fair catch by Phillip Buchanon",0.270,0.320
1,5:48,1,10,OAK 13,6,0,Kerry Collins pass complete to Ronald Curry for 7 yards (tackle by Sammy Davis),-0.320,0.220
1,5:13,2,3,OAK 20,6,0,Tyrone Wheatley left end for -3 yards (tackle by Steve Foley),0.220,-0.940
1,5:13,3,6,OAK 17,6,0,"Kerry Collins pass incomplete intended for Ronald Curry (defended by Jamar Fletcher). Penalty on Stephen Cooper: Defensive Offside, 5 yards (no play)",-0.940,-0.350
1,4:19,3,1,OAK 22,6,0,Tyrone Wheatley up the middle for -1 yards (tackle by Stephen Cooper),-0.350,-1.960
1,4:01,4,2,OAK 21,6,0,Shane Lechler punts 27 yards,-1.960,-2.390
1,3:55,1,10,OAK 48,6,0,LaDainian Tomlinson left end for 2 yards (tackle by Tyler Brayton),2.390,2.120
1,3:16,2,8,OAK 46,6,0,Drew Brees pass complete to Keenan McCardell for 17 yards (tackle by Charles Woodson),2.120,3.640
1,2:49,1,10,OAK 29,6,0,"Penalty on Shane Olivea: False Start, 5 yards (no play)",3.640,3.310
1,2:28,1,15,OAK 34,6,0,Drew Brees pass complete to Antonio Gates for 28 yards (tackle by Tyler Brayton),3.310,5.830
1,1:47,1,6,OAK 6,6,0,Lorenzo Neal up the middle for 4 yards (tackle by Tommy Kelly). Lorenzo Neal fumbles (forced by Tommy Kelly),5.830,-0.670
1,1:30,1,10,OAK 26,6,0,Kerry Collins sacked by Ben Leber for -7 yards,0.670,-0.870
1,1:08,2,17,OAK 19,6,0,Kerry Collins right end for 6 yards (tackle by Donnie Edwards),-0.870,-0.690
1,0:24,3,11,OAK 25,6,0,"Penalty on Jake Grove: False Start, 5 yards (no play)",-0.690,-1.350
1,0:03,3,16,OAK 20,6,0,Kerry Collins pass complete to Doug Jolley for 10 yards (tackle by Randall Godfrey),-1.350,-1.370
Quarter,Time,Down,ToGo,Location,SDG,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,6,OAK 30,6,0,"Shane Lechler punts 41 yards, returned by Eric Parker for 15 yards (tackle by Ronald Curry)",-1.370,-1.860
2,14:46,1,10,SDG 44,6,0,Drew Brees pass complete to LaDainian Tomlinson for 9 yards (tackle by Danny Clark),1.860,2.530
2,14:01,2,1,OAK 47,6,0,LaDainian Tomlinson up the middle for 8 yards (tackle by Danny Clark),2.530,2.980
2,13:24,1,10,OAK 39,6,0,LaDainian Tomlinson up the middle for no gain (tackle by John Parrella and Ted Washington),2.980,2.440
2,12:42,2,10,OAK 39,6,0,LaDainian Tomlinson left tackle for 11 yards (tackle by Danny Clark and Phillip Buchanon),2.440,3.710
2,11:58,1,10,OAK 28,6,0,Drew Brees pass incomplete intended for Keenan McCardell (defended by Akbar Gbaja-Biamila). Penalty on Keenan McCardell: Illegal Formation (Declined),3.710,3.170
2,11:55,2,10,OAK 28,6,0,Drew Brees pass incomplete intended for Keenan McCardell,3.170,2.480
2,11:50,3,10,OAK 28,6,0,"Drew Brees sacked by Warren Sapp for 5 yards. Drew Brees fumbles (forced by Warren Sapp), recovered by LaDainian Tomlinson at OAK-28. Penalty on Jarrod Cooper: Defensive Holding, 5 yards (no play)",2.480,4.040
2,11:25,1,10,OAK 23,6,0,LaDainian Tomlinson up the middle for no gain (tackle by Tommy Kelly),4.040,3.500
2,10:46,2,10,OAK 23,6,0,"Drew Brees pass incomplete intended for Antonio Gates (defended by Napoleon Harris). Penalty on Napoleon Harris: Defensive Pass Interference, 16 yards (no play)",3.500,5.600
2,10:38,1,7,OAK 7,6,0,LaDainian Tomlinson up the middle for 1 yard (tackle by Danny Clark),5.600,4.950
2,10:12,,,,6,0,Timeout #1 by Oakland Raiders,0.000,4.950
2,10:12,2,6,OAK 6,12,0,"Drew Brees up the middle for 6 yards, touchdown",4.950,7.000
2,,,,OAK 2,13,0,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,13,0,"Nate Kaeding kicks off 52 yards, returned by Ronald Curry for 14 yards (tackle by Clinton Hart)",0.000,1.070
2,9:59,1,10,OAK 32,13,0,Tyrone Wheatley up the middle for 5 yards (tackle by Donnie Edwards),1.070,1.200
2,9:25,2,5,OAK 37,13,0,Tyrone Wheatley left tackle for -1 yards (tackle by DeQuincy Scott),1.200,0.370
2,8:40,3,6,OAK 36,13,0,Kerry Collins pass complete to Jerry Porter for 17 yards (tackle by Sammy Davis),0.370,2.460
2,8:02,1,10,SDG 47,13,0,Kerry Collins pass complete to Jerry Porter for 14 yards (tackle by Sammy Davis),2.460,3.380
2,7:34,1,10,SDG 33,13,0,Kerry Collins pass complete to Amos Zereoue for 11 yards (tackle by Terrence Kiel),3.380,4.110
2,6:52,1,10,SDG 22,13,0,Kerry Collins pass incomplete intended for Jerry Porter,4.110,3.560
