Unnamed: 0,NOR,ATL
First Downs,23,13
Rush-Yds-TDs,30-145-0,16-37-0
Cmp-Att-Yd-TD-INT,28-41-328-3-0,23-40-298-2-1
Sacked-Yards,0-0,3-12
Net Pass Yards,328,286
Total Yards,473,323
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,3-20,4-40
Third Down Conv.,10-17,2-12
Fourth Down Conv.,1-2,2-4
Time of Possession,35:27,24:33
