Unnamed: 0,TAM,ATL
First Downs,22,22
Rush-Yds-TDs,16-40-0,44-306-1
Cmp-Att-Yd-TD-INT,28-53-313-0-3,10-16-92-1-1
Sacked-Yards,1-2,3-16
Net Pass Yards,311,76
Total Yards,351,382
Fumbles-Lost,0-0,3-1
Turnovers,3,2
Penalties-Yards,8-99,8-83
Third Down Conv.,7-14,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,25:51,34:09
