Unnamed: 0,BUF,ATL
First Downs,11,24
Rush-Yds-TDs,18-40-0,37-157-0
Cmp-Att-Yd-TD-INT,17-29-146-0-2,18-35-250-3-0
Sacked-Yards,2-8,3-16
Net Pass Yards,138,234
Total Yards,178,391
Fumbles-Lost,1-1,2-0
Turnovers,3,0
Penalties-Yards,10-60,6-70
Third Down Conv.,2-10,8-17
Fourth Down Conv.,0-0,3-4
Time of Possession,25:35,34:25
