Unnamed: 0,CAR,ARI
First Downs,14,10
Rush-Yds-TDs,30-181-1,25-96-1
Cmp-Att-Yd-TD-INT,20-33-206-1-0,14-26-180-0-3
Sacked-Yards,2-13,2-21
Net Pass Yards,193,159
Total Yards,374,255
Fumbles-Lost,0-0,4-2
Turnovers,0,5
Penalties-Yards,9-65,11-101
Third Down Conv.,6-18,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,31:07,28:53
