Unnamed: 0,SEA,STL
First Downs,22,21
Rush-Yds-TDs,27-135-1,30-86-1
Cmp-Att-Yd-TD-INT,21-37-246-1-1,20-32-236-2-1
Sacked-Yards,2-15,1-6
Net Pass Yards,231,230
Total Yards,366,316
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,9-64,7-50
Third Down Conv.,6-14,8-13
Fourth Down Conv.,0-1,0-0
Time of Possession,27:39,32:21
