Quarter,Time,Tm,Detail,SEA,STL
1.0,11:37,Seahawks,"Safety,",2,0
,3:05,Rams,Marshall Faulk 5 yard rush (Jeff Wilkins kick),2,7
,1:10,Rams,Isaac Bruce 18 yard pass from Marc Bulger (Jeff Wilkins kick),2,14
2.0,7:53,Seahawks,Darrell Jackson 9 yard pass from Matt Hasselbeck (Josh Brown kick),9,14
,5:06,Rams,Torry Holt 40 yard pass from Marc Bulger (Jeff Wilkins kick),9,21
,0:18,Seahawks,Josh Brown 31 yard field goal,12,21
3.0,5:39,Seahawks,Josh Brown 38 yard field goal,15,21
4.0,14:18,Rams,Jeff Wilkins 33 yard field goal,15,24
,10:18,Seahawks,Shaun Alexander 2 yard rush (Josh Brown kick),22,24
,1:37,Rams,Jeff Wilkins 46 yard field goal,22,27
