Unnamed: 0,ARI,SFO
First Downs,29,18
Rush-Yds-TDs,36-180-2,25-123-0
Cmp-Att-Yd-TD-INT,26-40-230-1-1,19-33-259-2-0
Sacked-Yards,2-6,3-16
Net Pass Yards,224,243
Total Yards,404,366
Fumbles-Lost,2-0,0-0
Turnovers,1,0
Penalties-Yards,9-102,5-53
Third Down Conv.,7-14,2-11
Fourth Down Conv.,0-0,0-2
Time of Possession,31:26,28:34
