Quarter,Time,Tm,Detail,ARI,SFO
1.0,11:50,49ers,Robbie Gould 52 yard field goal,0,3
,9:53,49ers,Raheem Mostert 76 yard pass from Jimmy Garoppolo (Robbie Gould kick),0,10
,6:55,Cardinals,Chase Edmonds 10 yard pass from Kyler Murray (Zane Gonzalez kick),7,10
2.0,0:30,49ers,Robbie Gould 24 yard field goal,7,13
,0:00,Cardinals,Zane Gonzalez 56 yard field goal,10,13
4.0,10:26,Cardinals,Kyler Murray 22 yard rush (Zane Gonzalez kick),17,13
,8:38,49ers,Jerick McKinnon 5 yard pass from Jimmy Garoppolo (Robbie Gould kick),17,20
,5:03,Cardinals,Kenyan Drake 1 yard rush (Zane Gonzalez kick),24,20
