Quarter,Time,Tm,Detail,PHI,WAS
1.0,0:51,Redskins,Jamison Crowder 16 yard pass from Kirk Cousins (Dustin Hopkins kick),0,7
2.0,7:48,Redskins,Vernon Davis 13 yard pass from Kirk Cousins (Dustin Hopkins kick),0,14
,7:37,Eagles,Wendell Smallwood 86 yard kickoff return (Caleb Sturgis kick),7,14
,3:55,Eagles,Malcolm Jenkins 64 yard interception return (Caleb Sturgis kick),14,14
,0:06,Redskins,Matt Jones 1 yard rush (Dustin Hopkins kick),14,21
3.0,8:40,Redskins,Dustin Hopkins 32 yard field goal,14,24
4.0,12:56,Eagles,Caleb Sturgis 38 yard field goal,17,24
,9:43,Redskins,Dustin Hopkins 50 yard field goal,17,27
,5:20,Eagles,Caleb Sturgis 28 yard field goal,20,27
