Quarter,Time,Tm,Detail,DEN,BUF
1.0,7:13,Broncos,Tim Tebow 1 yard rush (Matt Prater kick),7,0
2.0,6:06,Bills,Dave Rayner 28 yard field goal,7,3
,4:05,Bills,Leodis McKelvin 80 yard punt return (Dave Rayner kick),7,10
,0:19,Bills,C.J. Spiller 4 yard rush (Dave Rayner kick),7,17
3.0,11:42,Broncos,Daniel Fells 17 yard pass from Tim Tebow (Matt Prater kick),14,17
,6:19,Bills,Dave Rayner 25 yard field goal,14,20
,2:32,Bills,Dave Rayner 25 yard field goal,14,23
4.0,13:26,Bills,Dave Rayner 29 yard field goal,14,26
,8:03,Bills,Jairus Byrd 37 yard interception return (Dave Rayner kick),14,33
,7:45,Bills,Spencer Johnson 17 yard defensive fumble return (Dave Rayner kick),14,40
