Unnamed: 0,GNB,DAL
First Downs,26,27
Rush-Yds-TDs,27-150-1,18-134-1
Cmp-Att-Yd-TD-INT,26-39-299-4-1,29-48-358-2-2
Sacked-Yards,2-16,3-26
Net Pass Yards,283,332
Total Yards,433,466
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,7-59,7-79
Third Down Conv.,7-13,2-9
Fourth Down Conv.,0-0,0-0
Time of Possession,28:18,31:42
