Unnamed: 0,NOR,PHI
First Downs,19,11
Rush-Yds-TDs,35-129-1,15-67-0
Cmp-Att-Yd-TD-INT,20-24-229-0-1,18-32-274-1-1
Sacked-Yards,7-45,6-28
Net Pass Yards,184,246
Total Yards,313,313
Fumbles-Lost,0-0,2-0
Turnovers,1,1
Penalties-Yards,3-20,8-49
Third Down Conv.,7-16,3-12
Fourth Down Conv.,1-1,0-2
Time of Possession,37:04,22:56
