Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA
2,7:44,3,16,PHI 19,10,0,Gardner Minshew pass complete short middle to Kenneth Gainwell for 9 yards (tackle by Demario Davis),-1.510,-1.500
2,7:09,4,7,PHI 28,10,0,"Brett Kern punts 45 yards, returned by Rashid Shaheed for 3 yards (tackle by Zech McPhearson)",-1.500,-0.940
2,7:00,1,10,NOR 30,10,0,Taysom Hill right end for 3 yards (tackle by Marcus Epps),0.940,0.800
2,6:23,2,7,NOR 33,10,0,Andy Dalton pass complete short middle to Juwan Johnson for 3 yards (tackle by Kyzir White),0.800,0.500
2,5:49,3,4,NOR 36,10,0,Andy Dalton pass complete deep right to Rashid Shaheed for 58 yards (tackle by James Bradberry),0.500,5.830
2,5:00,1,6,PHI 6,10,0,Alvin Kamara right guard for 4 yards (tackle by Javon Hargrave),5.830,5.720
2,4:26,2,2,PHI 2,10,0,Alvin Kamara left guard for 1 yard (tackle by Josiah Scott and Reed Blankenship),5.720,5.170
2,3:51,3,1,PHI 1,10,0,Taysom Hill right end for -1 yards (tackle by T.J. Edwards and Javon Hargrave),5.170,3.250
2,3:08,4,2,PHI 2,13,0,Wil Lutz 20 yard field goal good,3.250,3.000
2,3:05,,,NOR 35,13,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,3:05,1,10,PHI 25,13,0,Gardner Minshew pass incomplete short right intended for Dallas Goedert,0.610,0.060
2,3:01,2,10,PHI 25,13,0,Gardner Minshew pass complete short left to A.J. Brown for 7 yards (tackle by Marshon Lattimore),0.060,0.300
2,2:28,3,3,PHI 32,13,0,Gardner Minshew pass incomplete deep right intended for DeVonta Smith,0.300,-1.240
2,2:19,4,3,PHI 32,13,0,"Brett Kern punts 38 yards, fair catch by Rashid Shaheed at NO-30",-1.240,-0.940
2,2:13,1,10,NOR 30,13,0,Andy Dalton pass complete short right to Juwan Johnson for 11 yards (tackle by Marcus Epps),0.940,1.660
2,2:00,1,10,NOR 41,13,0,Alvin Kamara left guard for 12 yards (tackle by Reed Blankenship and Brandon Graham),1.660,2.460
2,1:37,1,10,PHI 47,13,0,Andy Dalton pass complete deep middle to Juwan Johnson for 21 yards (tackle by Marcus Epps),2.460,3.840
2,1:09,1,10,PHI 26,13,0,Andy Dalton sacked by Haason Reddick for -5 yards,3.840,2.620
2,0:45,2,15,PHI 31,13,0,Andy Dalton pass deep right intended for Chris Olave is intercepted by Josiah Scott at PHI-12 and returned for 13 yards (tackle by Calvin Throckmorton),2.620,-0.610
2,0:34,1,10,PHI 25,13,0,Gardner Minshew sacked by Cameron Jordan for -5 yards,0.610,-0.610
2,0:26,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:26,2,15,PHI 20,13,0,Gardner Minshew pass complete short left to A.J. Brown for 8 yards (tackle by Marshon Lattimore),-0.610,-0.230
2,0:19,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:19,3,7,PHI 28,13,0,Gardner Minshew pass complete short left to Dallas Goedert for 12 yards (tackle by Tyrann Mathieu and P.J. Williams),-0.230,1.600
2,0:12,,,,,,Timeout #3 by Philadelphia Eagles,,
2,0:12,1,10,PHI 40,13,0,Gardner Minshew pass incomplete deep left intended for Dallas Goedert (defended by Daniel Sorensen),1.600,1.050
2,0:05,2,10,PHI 40,13,0,Gardner Minshew pass complete short right to DeVonta Smith for 25 yards (tackle by Paulson Adebo and J.T. Gray),1.050,3.250
Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,13,0,"Wil Lutz kicks off 62 yards, returned by Boston Scott for 15 yards (tackle by Andrew Dowell and J.T. Gray). Penalty on Kyron Johnson: Offensive Holding, 9 yards (accepted)",0.000,-0.380
3,14:54,1,10,PHI 9,13,0,Miles Sanders up the middle for 9 yards (tackle by Demario Davis),-0.380,0.140
3,14:19,2,1,PHI 18,13,0,Miles Sanders right guard for 14 yards (tackle by Daniel Sorensen),0.140,1.070
3,13:50,1,10,PHI 32,13,0,Gardner Minshew pass complete to Dallas Goedert for 18 yards (tackle by Tyrann Mathieu),1.070,2.260
3,13:19,1,10,NOR 50,13,0,Gardner Minshew pass complete short right to DeVonta Smith for 1 yard (tackle by Paulson Adebo),2.260,1.850
3,12:41,2,9,NOR 49,13,0,Gardner Minshew pass complete short right to DeVonta Smith for 15 yards (tackle by Paulson Adebo),1.850,3.310
3,12:15,1,10,NOR 34,13,0,Boston Scott left end for 8 yards (tackle by Daniel Sorensen and Demario Davis),3.310,3.850
3,11:49,2,2,NOR 26,13,0,Boston Scott right tackle for -2 yards (tackle by Kaden Elliss),3.850,2.870
3,11:13,3,4,NOR 28,13,0,"Kenneth Gainwell for no gain, touchdown. Penalty on Landon Dickerson: Offensive Holding, 10 yards (accepted) (no play)",2.870,1.550
3,11:06,3,14,NOR 38,13,0,Gardner Minshew pass incomplete short right intended for A.J. Brown (defended by Demario Davis),1.550,0.720
3,11:03,4,14,NOR 38,13,3,Jake Elliott 56 yard field goal good,0.720,3.000
3,10:58,,,PHI 35,13,3,"Jake Elliott kicks off 67 yards, returned by Rashid Shaheed for 27 yards (tackle by Zach Pascal)",0.000,0.610
3,10:52,1,10,NOR 25,13,3,Andy Dalton pass complete short left to Rashid Shaheed for -1 yards (tackle by T.J. Edwards),0.610,-0.070
3,10:18,2,11,NOR 24,13,3,Andy Dalton pass complete short right to Rashid Shaheed for 7 yards (tackle by Josiah Scott),-0.070,0.040
3,9:43,3,5,NOR 30,13,3,Andy Dalton pass incomplete short right intended for Juwan Johnson (defended by K'Von Wallace),0.040,-1.310
3,9:39,4,5,NOR 31,13,3,"Blake Gillikin punts 55 yards, fair catch by Britain Covey at PHI-14",-1.310,0.280
3,9:32,1,10,PHI 14,13,3,Miles Sanders up the middle for 9 yards (tackle by Kaden Elliss and Daniel Sorensen),-0.280,0.550
3,8:57,2,1,PHI 23,13,3,Miles Sanders left guard for 4 yards (tackle by Bradley Roby),0.550,0.740
3,8:22,1,10,PHI 27,13,3,Miles Sanders right guard for 6 yards (tackle by Malcolm Roach),0.740,1.010
3,7:45,2,4,PHI 33,13,3,Miles Sanders left tackle for 2 yards (tackle by David Onyemata),1.010,0.560
3,7:05,3,2,PHI 35,13,3,"Penalty on Landon Dickerson: False Start, 5 yards (accepted) (no play)",0.560,-0.100
3,6:42,3,7,PHI 30,13,3,"Penalty on Jason Kelce: False Start, 5 yards (accepted) (no play)",-0.100,-0.760
3,6:24,3,12,PHI 25,13,3,Gardner Minshew pass complete short left to DeVonta Smith for 12 yards (tackle by Marshon Lattimore),-0.760,1.400
3,5:41,,,,,,Timeout #1 by New Orleans Saints,,
3,5:41,1,10,PHI 37,13,3,Miles Sanders right guard for 2 yards (tackle by Cameron Jordan),1.400,1.130
3,5:05,2,8,PHI 39,13,3,Gardner Minshew pass incomplete deep left intended for A.J. Brown,1.130,0.430
3,5:00,3,8,PHI 39,13,3,"Penalty on Isaac Seumalo: False Start, 5 yards (accepted) (no play)",0.430,-0.230
3,5:00,3,13,PHI 34,13,3,Gardner Minshew pass incomplete deep right intended for DeVonta Smith,-0.230,-1.110
3,4:55,4,13,PHI 34,13,3,Brett Kern punts 26 yards out of bounds,-1.110,-1.600
3,4:49,1,10,NOR 40,13,3,Alvin Kamara left end for 15 yards (tackle by Reed Blankenship),1.600,2.590
3,4:17,1,10,PHI 45,13,3,Alvin Kamara right guard for 2 yards (tackle by Haason Reddick and Marcus Epps),2.590,2.310
3,3:46,2,8,PHI 43,13,3,Andy Dalton sacked by Fletcher Cox for -12 yards,2.310,0.040
3,3:00,3,20,NOR 45,13,3,Andy Dalton pass complete short left to Eno Benjamin for 9 yards (tackle by James Bradberry and Javon Hargrave),0.040,0.200
3,2:24,4,11,PHI 46,13,3,Blake Gillikin punts 42 yards,0.200,0.380
3,2:14,1,10,PHI 4,13,3,Gardner Minshew pass complete short right to DeVonta Smith for 12 yards (tackle by Daniel Sorensen),-0.380,-0.140
3,1:37,1,10,PHI 16,13,3,Gardner Minshew pass complete short left to DeVonta Smith for 6 yards (tackle by Marshon Lattimore),-0.140,0.280
3,0:58,2,4,PHI 22,13,9,"Gardner Minshew pass complete deep right to A.J. Brown for 78 yards, touchdown",0.280,7.000
3,0:45,,,NOR 15,13,10,Jake Elliott kicks extra point good,0.000,0.000
3,0:45,,,PHI 35,13,10,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,0:45,1,10,NOR 25,13,10,Andy Dalton pass complete short right to Adam Trautman for 16 yards (tackle by Darius Slay),0.610,1.660
3,0:06,1,10,NOR 41,13,10,Alvin Kamara left guard for 7 yards (tackle by T.J. Edwards and Kyzir White),1.660,2.070
Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,NOR 48,13,10,Taysom Hill right guard for no gain (tackle by Kyzir White and Ndamukong Suh),2.070,1.360
4,14:16,3,3,NOR 48,13,10,Andy Dalton sacked by Brandon Graham for -5 yards,1.360,-0.520
4,13:39,4,8,NOR 43,13,10,"Blake Gillikin punts 43 yards, fair catch by Britain Covey at PHI-14",-0.520,0.280
4,13:34,1,10,PHI 14,13,10,Gardner Minshew pass complete deep left to Dallas Goedert for 15 yards (tackle by Daniel Sorensen),-0.280,0.870
4,12:58,1,10,PHI 29,13,10,"Gardner Minshew pass complete to Boston Scott for no gain. Penalty on Jason Kelce: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.870,0.540
4,12:28,1,15,PHI 24,13,10,Gardner Minshew pass incomplete short middle intended for DeVonta Smith,0.540,-0.350
4,12:25,2,15,PHI 24,13,10,Gardner Minshew pass incomplete short left intended for Quez Watkins (defended by Marshon Lattimore),-0.350,-1.020
4,12:21,3,15,PHI 24,13,10,Gardner Minshew pass incomplete deep left intended for A.J. Brown,-1.020,-1.770
4,12:16,4,15,PHI 24,13,10,"Brett Kern punts 50 yards, returned by Rashid Shaheed for 6 yards (tackle by Kyron Johnson)",-1.770,-1.070
4,12:03,1,10,NOR 32,13,10,Alvin Kamara left end for no gain (tackle by Kyzir White),1.070,0.530
4,11:30,2,10,NOR 32,13,10,Andy Dalton sacked by Haason Reddick for -8 yards,0.530,-1.220
4,10:45,3,18,NOR 24,13,10,"Andy Dalton pass incomplete intended for Chris Olave. Penalty on Erik McCoy: False Start, 5 yards (accepted) (no play)",-1.220,-2.010
4,10:45,3,23,NOR 19,13,10,Alvin Kamara up the middle for no gain (tackle by Javon Hargrave),-2.010,-2.140
4,10:11,4,23,NOR 19,13,10,"Blake Gillikin punts 47 yards, returned by Britain Covey for 7 yards (tackle by Andrew Dowell)",-2.140,-1.660
4,10:01,1,10,PHI 41,13,10,Miles Sanders up the middle for 1 yard (tackle by David Onyemata and Demario Davis),1.660,1.260
4,9:28,2,9,PHI 42,13,10,Gardner Minshew pass complete short right to DeVonta Smith for 5 yards (tackle by Paulson Adebo),1.260,1.220
4,9:01,3,4,PHI 47,13,10,Miles Sanders left tackle for 3 yards (tackle by David Onyemata and Demario Davis),1.220,-0.060
4,8:36,4,1,PHI 50,13,10,Gardner Minshew up the middle for no gain (tackle by Demario Davis),-0.060,-2.260
4,8:32,1,10,PHI 50,13,10,Alvin Kamara up the middle for 2 yards (tackle by Milton Williams and Jordan Davis),2.260,1.980
4,7:53,2,8,PHI 48,13,10,Andy Dalton pass complete short right to Taysom Hill for 10 yards (tackle by Darius Slay),1.980,3.050
