Quarter,Time,Tm,Detail,BUF,KAN
1.0,8:31,Chiefs,Harrison Butker 38 yard field goal,0,3
,4:36,Bills,Josh Allen 9 yard rush (Tyler Bass kick),7,3
2.0,10:00,Chiefs,Byron Pringle 5 yard pass from Patrick Mahomes (Harrison Butker kick),7,10
,7:45,Bills,Emmanuel Sanders 35 yard pass from Josh Allen (Tyler Bass kick),14,10
,3:13,Bills,Tyler Bass 30 yard field goal,17,10
,1:16,Bills,Dawson Knox 53 yard pass from Josh Allen (Tyler Bass kick),24,10
,0:02,Chiefs,Harrison Butker 54 yard field goal,24,13
3.0,7:12,Bills,Micah Hyde 26 yard interception return (Tyler Bass kick),31,13
4.0,13:42,Chiefs,Travis Kelce 1 yard pass from Patrick Mahomes (Harrison Butker kick),31,20
,5:51,Bills,Emmanuel Sanders 8 yard pass from Josh Allen (Tyler Bass kick),38,20
