Unnamed: 0,BUF,KAN
First Downs,20,29
Rush-Yds-TDs,28-121-1,23-120-0
Cmp-Att-Yd-TD-INT,15-26-315-3-0,33-54-272-2-2
Sacked-Yards,0-0,2-0
Net Pass Yards,315,272
Total Yards,436,392
Fumbles-Lost,0-0,2-2
Turnovers,0,4
Penalties-Yards,10-103,7-55
Third Down Conv.,5-11,5-12
Fourth Down Conv.,0-0,0-1
Time of Possession,27:35,32:25
