Unnamed: 0,NOR,JAX
First Downs,30,15
Rush-Yds-TDs,34-177-1,17-104-0
Cmp-Att-Yd-TD-INT,31-44-351-1-2,16-42-196-1-1
Sacked-Yards,3-25,3-26
Net Pass Yards,326,170
Total Yards,503,274
Fumbles-Lost,0-0,1-0
Turnovers,2,1
Penalties-Yards,6-50,2-15
Third Down Conv.,7-14,4-15
Fourth Down Conv.,1-1,0-4
Time of Possession,37:05,22:55
