Quarter,Time,Down,ToGo,Location,NOR,JAX,Detail,EPB,EPA
2,11:19,2,10,JAX 30,14,0,Blaine Gabbert pass complete deep right to Jason Hill for 18 yards (tackle by Jabari Greer),0.390,2.130
2,9:55,1,10,JAX 48,14,0,Blaine Gabbert pass incomplete deep right intended for Jason Hill,2.130,1.580
2,9:48,2,10,JAX 48,14,0,Blaine Gabbert sacked by Roman Harper for -10 yards,1.580,-0.430
2,9:15,3,20,JAX 38,14,0,"Blaine Gabbert pass complete short middle to Jarett Dillard for 17 yards (tackle by Scott Shanle). Penalty on Scott Shanle: Face Mask (15 Yards), 15 yards",-0.430,3.580
2,8:46,1,10,NOR 30,14,0,Deji Karim left end for 3 yards (tackle by Jo-Lonn Dunbar),3.580,3.440
2,8:09,2,7,NOR 27,14,0,Blaine Gabbert pass incomplete short right intended for Jarett Dillard,3.440,2.740
2,8:05,3,7,NOR 27,14,0,Blaine Gabbert pass complete short right to Marcedes Lewis for 13 yards (tackle by Roman Harper),2.740,4.650
2,7:37,1,10,NOR 14,14,0,Blaine Gabbert pass incomplete short left intended for Jason Hill (defended by Patrick Robinson),4.650,4.000
2,7:33,2,10,NOR 14,14,6,"Blaine Gabbert pass complete short middle to Zach Miller for 14 yards, touchdown",4.000,7.000
2,,,,NOR 2,14,7,Josh Scobee kicks extra point good,0.000,0.000
2,,,,JAX 35,14,7,"Josh Scobee kicks off 71 yards, returned by Darren Sproles for 27 yards (tackle by Chris Prosinski)",0.000,0.340
2,7:24,1,10,NOR 21,14,7,Drew Brees pass complete short left to Pierre Thomas for 19 yards (tackle by Rashean Mathis),0.340,1.600
2,6:57,1,10,NOR 40,14,7,Drew Brees pass incomplete short right intended for Jed Collins (defended by Paul Posluszny),1.600,1.050
,,,,,,,"JAX challenged the incomplete pass ruling, and the play was upheld.",,
2,6:52,2,10,NOR 40,14,7,Drew Brees pass complete short left to Pierre Thomas for no gain,1.050,0.370
2,6:06,3,10,NOR 40,14,7,Drew Brees pass complete short left to Darren Sproles for 10 yards (tackle by Chris Prosinski),0.370,2.260
2,5:37,1,10,,14,7,Darren Sproles right end for no gain (tackle by Terrance Knighton),2.260,1.710
2,4:53,2,10,,14,7,Pierre Thomas up the middle for 15 yards (tackle by Drew Coleman),1.710,3.250
2,4:11,1,10,JAX 35,14,7,Drew Brees pass incomplete deep middle intended for Robert Meachem,3.250,2.700
2,4:03,2,10,JAX 35,14,7,Drew Brees pass incomplete short right intended for Darren Sproles,2.700,2.010
2,4:03,3,10,JAX 35,14,7,Drew Brees pass incomplete short right intended for Jimmy Graham (defended by Dwight Lowery),2.010,0.970
