Unnamed: 0,SEA,ARI
First Downs,11,23
Rush-Yds-TDs,19-52-0,37-132-0
Cmp-Att-Yd-TD-INT,24-37-225-0-0,29-49-342-0-0
Sacked-Yards,1-20,4-31
Net Pass Yards,205,311
Total Yards,257,443
Fumbles-Lost,2-0,1-0
Turnovers,0,0
Penalties-Yards,10-90,6-45
Third Down Conv.,3-14,10-21
Fourth Down Conv.,0-0,0-1
Time of Possession,28:39,46:21
