Quarter,Time,Tm,Detail,SEA,ARI
2,3:11,Cardinals,Chandler Catanzaro 46 yard field goal,0,3
4,4:00,Seahawks,Stephen Hauschka 40 yard field goal,3,3
OT,11:23,Cardinals,Chandler Catanzaro 45 yard field goal,3,6
,6:42,Seahawks,Stephen Hauschka 36 yard field goal,6,6
