Unnamed: 0,KAN,SDG
First Downs,26,26
Rush-Yds-TDs,31-103-1,26-129-0
Cmp-Att-Yd-TD-INT,21-28-264-2-1,22-38-269-2-2
Sacked-Yards,1-2,0-0
Net Pass Yards,262,269
Total Yards,365,398
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,4-19,10-50
Third Down Conv.,8-12,3-10
Fourth Down Conv.,0-0,2-2
Time of Possession,30:48,29:12
