Quarter,Time,Tm,Detail,GNB,NYJ
1,2:15,Jets,Elijah McGuire 4 yard rush (Jason Myers kick),0,7
2,9:02,Jets,Robbie Chosen 33 yard pass from Sam Darnold (Jason Myers kick),0,14
,5:06,Packers,Jake Kumerow 49 yard pass from Aaron Rodgers (Mason Crosby kick),7,14
,4:54,Jets,Andre Roberts 99 yard kickoff return (Jason Myers kick),7,21
,1:33,Packers,Jamaal Williams 7 yard rush (Mason Crosby kick),14,21
,0:02,Packers,Mason Crosby 42 yard field goal,17,21
3,8:17,Packers,Mason Crosby 29 yard field goal,20,21
,4:21,Jets,Chris Herndon 5 yard pass from Sam Darnold (Jason Myers kick),20,28
,2:50,Jets,Elijah McGuire 20 yard pass from Sam Darnold (Jason Myers kick),20,35
4,11:45,Packers,Mason Crosby 38 yard field goal,23,35
,6:32,Packers,Aaron Rodgers 1 yard rush (Mason Crosby kick),30,35
,1:12,Packers,Aaron Rodgers 1 yard rush (Aaron Rodgers run),38,35
,0:17,Jets,Jason Myers 33 yard field goal,38,38
OT,6:23,Packers,Davante Adams 16 yard pass from Aaron Rodgers,44,38
