Unnamed: 0,GNB,NYJ
First Downs,35,23
Rush-Yds-TDs,20-127-3,20-47-1
Cmp-Att-Yd-TD-INT,37-55-442-2-0,24-35-341-3-0
Sacked-Yards,4-29,2-18
Net Pass Yards,413,323
Total Yards,540,370
Fumbles-Lost,2-1,1-0
Turnovers,1,0
Penalties-Yards,10-86,16-172
Third Down Conv.,5-12,3-11
Fourth Down Conv.,2-2,2-2
Time of Possession,34:19,29:18
