Quarter,Time,Down,ToGo,Location,GNB,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 60 yards, returned by Andre Roberts for no gain (tackle by Natrell Jamerson)",0.000,1.070
1,14:55,1,10,NYJ 32,0,0,Sam Darnold pass complete short left to Robby Anderson for 12 yards (tackle by Jaire Alexander),1.070,1.860
1,14:20,1,10,NYJ 44,0,0,Elijah McGuire left guard for 10 yards (tackle by Bashaud Breeland),1.860,2.520
1,13:39,1,10,GNB 46,0,0,Sam Darnold pass complete deep right to Chris Herndon for 26 yards (tackle by Kentrell Brice),2.520,4.240
1,12:56,1,10,GNB 20,0,0,Elijah McGuire up the middle for 2 yards (tackle by Tyler Lancaster),4.240,3.960
1,12:16,2,8,GNB 18,0,0,Sam Darnold sacked by Kyler Fackrell for -10 yards,3.960,1.950
1,11:31,3,18,GNB 28,0,0,Sam Darnold pass incomplete deep right intended for Elijah McGuire (defended by Josh Jones),1.950,1.590
1,11:23,4,18,GNB 28,0,0,Jason Myers 45 yard field goal no good,1.590,-1.270
1,11:19,1,10,GNB 35,0,0,Aaron Rodgers pass incomplete short left intended for Davante Adams,1.270,0.720
1,11:15,2,10,GNB 35,0,0,Jamaal Williams up the middle for 19 yards (tackle by Jamal Adams and Darryl Roberts),0.720,2.520
1,10:38,1,10,NYJ 46,0,0,Aaron Rodgers sacked by Leonard Williams for -10 yards,2.520,0.630
1,9:55,2,20,GNB 44,0,0,Aaron Rodgers pass complete short left (tackle by Buster Skrine),0.630,0.500
1,9:14,3,16,GNB 48,0,0,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,0.500,-0.190
1,9:08,4,16,GNB 48,0,0,"JK Scott punts 37 yards, returned by Andre Roberts for 12 yards (tackle by JK Scott). Penalty on Anthony Wint: Illegal Block Above the Waist, 10 yards",-0.190,0.060
1,8:54,1,10,NYJ 17,0,0,Sam Darnold pass complete short middle to Robby Anderson for 16 yards (tackle by Jaire Alexander),-0.060,1.140
1,8:19,1,10,NYJ 33,0,0,Elijah McGuire left end for 5 yards (tackle by Blake Martinez),1.140,1.270
1,7:36,2,5,NYJ 38,0,0,Elijah McGuire up the middle for 2 yards (tackle by Kyler Fackrell and Dean Lowry),1.270,0.830
1,6:56,3,3,NYJ 40,0,0,Sam Darnold pass complete short left to Jermaine Kearse for 7 yards (tackle by Reggie Gilbert and Eddie Pleasant),0.830,2.060
1,6:15,1,10,NYJ 47,0,0,Sam Darnold pass complete short right to Jermaine Kearse for 13 yards (tackle by Bashaud Breeland),2.060,2.920
1,5:41,1,10,GNB 40,0,0,Elijah McGuire left guard for 1 yard (tackle by Tyler Lancaster and Josh Jones),2.920,2.510
1,5:07,2,9,GNB 39,0,0,Sam Darnold pass complete short left to Elijah McGuire for 16 yards (tackle by Blake Martinez),2.510,4.040
1,4:26,1,10,GNB 23,0,0,Elijah McGuire up the middle for -2 yards (tackle by Montravius Adams and Tyler Lancaster),4.040,3.230
1,3:48,2,12,GNB 25,0,0,Sam Darnold pass complete short left to Jermaine Kearse for 6 yards (tackle by Tony Brown),3.230,3.340
1,3:08,,,,,,Timeout #1 by New York Jets,,
1,3:08,3,6,GNB 19,0,0,Sam Darnold pass complete short middle to Chris Herndon for 15 yards (tackle by Josh Jones),3.340,6.280
1,2:23,1,4,GNB 4,0,0,Sam Darnold pass incomplete short right intended for Trenton Cannon (defended by Tramon Williams),6.280,5.340
1,2:20,2,4,GNB 4,0,6,"Elijah McGuire left end for 4 yards, touchdown",5.340,7.000
1,2:15,,,GNB 15,0,7,"Jason Myers kicks extra point good. Penalty on Tony Brown: Defensive Offside, 5 yards",0.000,0.000
1,2:15,,,NYJ 40,0,7,"Jason Myers kicks off 60 yards, touchback.",0.000,0.610
1,2:15,1,10,GNB 25,0,7,Aaron Rodgers pass complete short left to Davante Adams for 9 yards (tackle by Morris Claiborne),0.610,1.280
1,1:34,2,1,GNB 34,0,7,Aaron Rodgers pass complete short left to Davante Adams for 6 yards (tackle by Morris Claiborne and Neville Hewitt),1.280,1.600
1,0:55,1,10,GNB 40,0,7,Jamaal Williams left tackle for 5 yards (tackle by Henry Anderson),1.600,1.730
1,0:20,2,5,GNB 45,0,7,Jamaal Williams right tackle for no gain (tackle by Leonard Williams),1.730,1.030
Quarter,Time,Down,ToGo,Location,GNB,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,GNB 45,0,7,Aaron Rodgers sacked by Henry Anderson for -10 yards,1.030,-1.040
2,14:20,4,15,GNB 35,0,7,"JK Scott punts 41 yards, fair catch by Andre Roberts at NYJ-24",-1.040,-0.540
2,14:14,1,10,NYJ 24,0,7,Sam Darnold pass complete short left to Robby Anderson for 14 yards (tackle by Jaire Alexander),0.540,1.470
2,13:32,1,10,NYJ 38,0,7,Sam Darnold pass complete short left to Robby Anderson for 9 yards (tackle by Josh Jones and Jaire Alexander),1.470,2.140
2,12:57,2,1,NYJ 47,0,7,"Penalty on Brent Qvale: False Start, 5 yards (no play)",2.140,1.460
2,12:40,2,6,NYJ 42,0,7,Sam Darnold pass complete short right to Chris Herndon for 13 yards (tackle by Blake Martinez),1.460,2.590
2,11:59,1,10,GNB 45,0,7,Elijah McGuire left tackle for 1 yard (tackle by Dean Lowry),2.590,2.180
2,11:20,2,9,GNB 44,0,7,"Penalty on Dean Lowry: Neutral Zone Infraction, 5 yards (no play)",2.180,2.850
2,11:07,2,4,GNB 39,0,7,Elijah McGuire right end for 3 yards (tackle by Dean Lowry and Josh Jones),2.850,2.540
2,10:25,3,1,GNB 36,0,7,Elijah McGuire right tackle for no gain (tackle by Tony Brown),2.540,0.890
2,9:45,4,1,GNB 36,0,7,Sam Darnold left guard for 3 yards (tackle by Josh Jones),0.890,3.380
2,9:09,1,10,GNB 33,0,13,"Sam Darnold pass complete deep left to Robby Anderson for 33 yards, touchdown",3.380,7.000
2,9:02,,,GNB 15,0,14,Jason Myers kicks extra point good,0.000,0.000
2,9:02,,,NYJ 35,0,14,"Jason Myers kicks off 66 yards, returned by J'Mon Moore for no gain (tackle by Tarell Basham). Penalty on Jake Kumerow: Offensive Holding, 10 yards",0.000,-0.380
2,8:57,1,10,GNB 10,0,14,Aaron Rodgers pass complete short right to Jamaal Williams for 10 yards (tackle by Neville Hewitt),-0.380,0.280
2,8:17,1,10,GNB 20,0,14,Jamaal Williams up the middle for 13 yards (tackle by Buster Skrine and Jamal Adams),0.280,1.140
2,7:36,1,10,GNB 33,0,14,Aaron Rodgers pass complete short middle to Marquez Valdes-Scantling for 12 yards (tackle by Avery Williamson),1.140,1.930
2,6:54,1,10,GNB 45,0,14,Jamaal Williams right tackle for 8 yards (tackle by Steve McLendon and Morris Claiborne),1.930,2.460
2,6:18,2,2,NYJ 47,0,14,"Penalty on Lucas Patrick: False Start, 5 yards (no play)",2.460,1.790
2,5:56,2,7,GNB 48,0,14,Aaron Rodgers pass complete short right to Davante Adams for 3 yards (tackle by Trumaine Johnson and Avery Williamson),1.790,1.490
2,5:14,3,4,NYJ 49,6,14,"Aaron Rodgers pass complete deep right to Jake Kumerow for 49 yards, touchdown",1.490,7.000
2,5:06,,,NYJ 15,7,14,Mason Crosby kicks extra point good,0.000,0.000
2,5:06,,,GNB 35,7,20,"Mason Crosby kicks off 64 yards, returned by Andre Roberts for no gain, touchdown",0.000,7.000
2,4:54,,,GNB 15,7,20,"Penalty on NYJ: Delay of Game, 5 yards (no play)",0.000,0.000
2,4:54,,,GNB 20,7,21,Jason Myers kicks extra point good,0.000,0.000
2,4:54,,,NYJ 35,7,21,"Jason Myers kicks off 67 yards, returned by J'Mon Moore for no gain (tackle by Jason Myers)",0.000,1.270
2,4:48,1,10,GNB 35,7,21,Aaron Rodgers pass complete short right to Davante Adams for 6 yards (tackle by Jordan Jenkins),1.270,1.530
2,4:14,2,4,GNB 41,7,21,Aaron Rodgers pass complete short left to Davante Adams for 1 yard (tackle by Buster Skrine),1.530,0.960
2,3:34,3,3,GNB 42,7,21,Aaron Rodgers pass complete deep right (tackle by Jamal Adams),0.960,3.970
2,2:50,1,10,NYJ 24,7,21,"Penalty on NYJ: Defensive Too Many Men on Field, 5 yards (no play)",3.970,4.750
2,2:33,1,5,NYJ 19,7,21,Jamaal Williams right tackle for no gain (tackle by Neville Hewitt),4.750,4.120
2,2:00,2,5,NYJ 19,7,21,"Aaron Rodgers pass incomplete short left. Penalty on Bryan Bulaga: Offensive Holding, 10 yards (no play)",4.120,2.760
2,1:54,2,15,NYJ 29,7,21,"Aaron Rodgers pass complete short middle (tackle by Trumaine Johnson and Neville Hewitt). Penalty on Leonard Williams: Disqualification, 8 yards",2.760,5.600
2,1:39,1,7,NYJ 7,13,21,"Jamaal Williams left end for 7 yards, touchdown",5.600,7.000
2,1:33,,,NYJ 15,14,21,Mason Crosby kicks extra point good,0.000,0.000
