Quarter,Time,Tm,Detail,DET,MIN
2.0,10:47,Lions,Matt Prater 29 yard field goal,3,0
,1:07,Vikings,Dalvin Cook 5 yard rush (Kai Forbath kick),3,7
3.0,10:41,Lions,Matt Prater 37 yard field goal,6,7
,8:00,Lions,Ameer Abdullah 3 yard rush (T.J. Jones pass from Matthew Stafford),14,7
