Unnamed: 0,DET,MIN
First Downs,19,15
Rush-Yds-TDs,31-97-1,22-87-1
Cmp-Att-Yd-TD-INT,19-31-209-0-0,16-30-219-0-0
Sacked-Yards,6-55,2-22
Net Pass Yards,154,197
Total Yards,251,284
Fumbles-Lost,1-0,3-3
Turnovers,0,3
Penalties-Yards,6-60,2-10
Third Down Conv.,3-13,3-10
Fourth Down Conv.,0-0,0-1
Time of Possession,36:27,23:33
