Unnamed: 0,DAL,GNB
First Downs,17,20
Rush-Yds-TDs,14-61-0,28-105-1
Cmp-Att-Yd-TD-INT,24-39-251-1-1,25-36-189-1-0
Sacked-Yards,5-34,4-11
Net Pass Yards,217,178
Total Yards,278,283
Fumbles-Lost,3-2,2-0
Turnovers,3,0
Penalties-Yards,10-67,12-100
Third Down Conv.,3-12,7-15
Fourth Down Conv.,2-2,0-0
Time of Possession,24:02,35:58
