Quarter,Time,Tm,Detail,DAL,GNB
2.0,0:00,Packers,Mason Crosby 48 yard field goal,0,3
4.0,13:14,Packers,Aaron Rodgers 1 yard rush (Mason Crosby kick),0,10
,10:49,Packers,Spencer Havner 2 yard pass from Aaron Rodgers (Mason Crosby kick),0,17
,0:38,Cowboys,Roy Williams 9 yard pass from Tony Romo (Nick Folk kick),7,17
