Unnamed: 0,SFO,MIN
First Downs,19,24
Rush-Yds-TDs,22-65-1,21-74-0
Cmp-Att-Yd-TD-INT,21-30-272-1-2,35-45-378-2-1
Sacked-Yards,1-12,0-0
Net Pass Yards,260,378
Total Yards,325,452
Fumbles-Lost,1-1,0-0
Turnovers,3,1
Penalties-Yards,5-37,5-35
Third Down Conv.,5-9,8-13
Fourth Down Conv.,1-1,0-0
Time of Possession,25:04,34:56
