Quarter,Time,Down,ToGo,Location,CAR,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,John Kasay kicks off 67 yards,0.000,1.600
1,14:36,1,10,BAL 40,0,0,Steve McNair pass complete short left to Jamal Lewis for 4 yards (tackle by Thomas Davis),1.600,1.590
1,14:20,2,6,BAL 44,0,0,Steve McNair pass complete short middle to Jamal Lewis for no gain,1.590,0.890
1,14:00,3,6,BAL 44,0,0,Steve McNair pass incomplete short right intended for Mark Clayton,0.890,-0.460
1,13:50,4,6,BAL 44,0,0,"Sam Koch punts 45 yards, returned by Chris Gamble for 3 yards (tackle by Daniel Wilcox). Penalty on Daniel Wilcox: Personal Foul, 15 yards",-0.460,-0.870
1,13:38,1,10,CAR 29,0,0,Jake Delhomme pass complete short right to DeShaun Foster for 3 yards (tackle by Adalius Thomas),0.870,0.730
1,12:27,2,7,CAR 32,0,0,DeShaun Foster for 2 yards,0.730,0.300
1,12:27,3,5,CAR 34,0,0,Jake Delhomme pass complete short right to Steve Smith for 9 yards (tackle by Gerome Sapp),0.300,1.800
1,12:27,1,10,CAR 43,0,0,Jake Delhomme pass incomplete deep right intended for Keyshawn Johnson,1.800,1.250
1,12:27,2,10,CAR 43,0,0,DeShaun Foster middle for 4 yards (tackle by Kelly Gregg),1.250,1.090
1,12:27,3,6,CAR 47,0,0,Jake Delhomme pass complete short right to Keary Colbert for 8 yards (tackle by Evan Oglesby),1.090,2.590
1,12:27,1,10,BAL 45,0,0,DeShaun Foster right guard for 4 yards (tackle by Kelly Gregg),2.590,2.580
1,12:27,2,6,BAL 41,0,0,DeShaun Foster middle for no gain (tackle by Dawan Landry),2.580,1.880
1,12:27,3,6,BAL 41,0,0,Jake Delhomme pass incomplete short left intended for Keyshawn Johnson is intercepted by Dawan Landry at BAL-35,1.880,-1.270
1,9:07,1,10,BAL 35,0,0,Jamal Lewis middle for 5 yards (tackle by Ma'ake Kemoeatu and Thomas Davis),1.270,1.400
1,8:35,2,5,BAL 40,0,0,Jamal Lewis right guard for 4 yards (tackle by Chris Draft and Colin Branch),1.400,1.220
1,7:57,3,1,BAL 44,0,0,Steve McNair pass incomplete deep middle intended for Daniel Wilcox is intercepted by Colin Branch at CAR-38,1.220,-1.470
1,7:35,1,10,CAR 38,0,0,Jake Delhomme pass complete short right to Keyshawn Johnson for 7 yards,1.470,1.870
1,7:35,2,3,CAR 45,0,0,DeShaun Foster middle for 1 yard (tackle by Ray Lewis),1.870,1.290
1,7:35,3,2,CAR 46,0,0,Jake Delhomme pass complete deep right to Steve Smith for 32 yards (tackle by Dawan Landry). Penalty on Samari Rolle: Illegal Contact (Declined),1.290,4.110
1,7:35,1,10,BAL 22,0,0,Jake Delhomme pass complete short right to Keyshawn Johnson for 4 yards (tackle by Chris McAlister),4.110,4.130
1,7:35,2,6,BAL 18,0,0,Jake Delhomme pass complete deep right to Steve Smith for 16 yards (tackle by Ed Reed),4.130,6.740
1,4:47,,,,0,0,Timeout #1 by Carolina Panthers,0.000,6.740
1,4:47,1,2,BAL 2,0,0,DeShaun Foster right tackle for no gain (tackle by Bart Scott),6.740,5.720
1,4:06,2,2,BAL 2,0,0,DeShaun Foster right tackle for 1 yard (tackle by Adalius Thomas and Bart Scott),5.720,5.170
1,3:16,3,1,BAL 1,0,0,DeShaun Foster right end for -2 yards (tackle by Chris McAlister and Ed Reed),5.170,3.040
1,2:36,4,3,BAL 3,3,0,John Kasay 21 yard field goal good,3.040,3.000
1,,,,CAR 30,3,0,"John Kasay kicks off 67 yards, returned by B.J. Sams for 25 yards (tackle by Richard Marshall)",0.000,0.810
1,2:29,1,10,BAL 28,3,0,Steve McNair sacked by Chris Draft and Mike Rucker for -9 yards,0.810,-1.010
1,2:29,2,19,BAL 19,3,0,Kyle Boller pass complete short left to Jamal Lewis for 5 yards (tackle by Julius Peppers),-1.010,-0.960
1,2:29,3,14,BAL 24,3,0,Kyle Boller left tackle for 6 yards (tackle by Julius Peppers),-0.960,-1.370
1,0:50,4,8,BAL 30,3,0,"Sam Koch punts 41 yards, returned by Chris Gamble for -1 yards (tackle by Gary Stills)",-1.370,-0.810
1,0:43,1,10,CAR 28,3,0,"DeShaun Foster left guard for -2 yards (tackle by Kelly Gregg). DeShaun Foster fumbles (forced by Kelly Gregg), recovered by Ray Lewis at CAR-26 (tackle by Jordan Gross)",0.810,-3.840
1,0:28,1,10,CAR 26,3,0,Kyle Boller pass incomplete short right intended for Mark Clayton (defended by Chris Gamble),3.840,3.300
1,0:24,2,10,CAR 26,3,0,"Kyle Boller for no gain. Kyle Boller fumbles, recovered by Kyle Boller at CAR-31",3.300,1.950
Quarter,Time,Down,ToGo,Location,CAR,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,15,CAR 31,3,0,"Musa Smith middle for 5 yards (tackle by Julius Peppers). Musa Smith fumbles (forced by Julius Peppers), recovered by Chris Draft at CAR-26 and returned for 1 yards (tackle by Jason Brown)",1.950,-0.740
