Unnamed: 0,CAR,BAL
First Downs,20,16
Rush-Yds-TDs,30-58-0,22-80-0
Cmp-Att-Yd-TD-INT,24-39-365-2-2,19-35-230-3-2
Sacked-Yards,1-9,3-18
Net Pass Yards,356,212
Total Yards,414,292
Fumbles-Lost,1-1,2-1
Turnovers,3,3
Penalties-Yards,4-20,5-40
Third Down Conv.,7-15,5-15
Fourth Down Conv.,0-0,2-2
Time of Possession,33:49,26:11
