Quarter,Time,Tm,Detail,CAR,BAL
1.0,2:35,Panthers,John Kasay 21 yard field goal,3,0
2.0,8:33,Ravens,Mark Clayton 14 yard pass from Kyle Boller (Matt Stover kick),3,7
,4:16,Panthers,Drew Carter 42 yard pass from Jake Delhomme (John Kasay kick),10,7
,0:04,Panthers,John Kasay 31 yard field goal,13,7
4.0,7:02,Panthers,John Kasay 21 yard field goal,16,7
,4:33,Ravens,Mark Clayton 62 yard pass from Kyle Boller (Matt Stover kick),16,14
,4:15,Panthers,Steve Smith Sr. 72 yard pass from Jake Delhomme (John Kasay kick),23,14
,2:13,Ravens,Todd Heap 7 yard pass from Kyle Boller (Matt Stover kick),23,21
