Unnamed: 0,CIN,OAK
First Downs,23,16
Rush-Yds-TDs,43-177-2,24-92-0
Cmp-Att-Yd-TD-INT,14-22-207-0-1,17-34-183-2-1
Sacked-Yards,3-36,0-0
Net Pass Yards,171,183
Total Yards,348,275
Fumbles-Lost,5-3,3-2
Turnovers,4,3
Penalties-Yards,8-59,3-13
Third Down Conv.,6-13,4-11
Fourth Down Conv.,0-0,1-1
Time of Possession,38:24,21:36
