Quarter,Time,Tm,Detail,CIN,OAK
1.0,5:32,Bengals,Carson Palmer 1 yard rush (Shayne Graham kick),7,0
2.0,7:12,Bengals,Carson Palmer 1 yard rush (Shayne Graham kick),14,0
,0:59,Raiders,Zach Miller 10 yard pass from Bruce Gradkowski (Sebastian Janikowski kick),14,7
3.0,9:59,Raiders,Sebastian Janikowski 52 yard field goal,14,10
,3:29,Bengals,Shayne Graham 25 yard field goal,17,10
4.0,0:33,Raiders,Louis Murphy 29 yard pass from Bruce Gradkowski (Sebastian Janikowski kick),17,17
,0:15,Raiders,Sebastian Janikowski 33 yard field goal,17,20
