Quarter,Time,Tm,Detail,STL,TAM
1.0,5:22,Buccaneers,Connor Barth 29 yard field goal,0,3
2.0,11:46,Rams,Jackrabbit Jenkins 41 yard interception return (Greg Zuerlein kick),7,3
,5:56,Buccaneers,Connor Barth 49 yard field goal,7,6
,0:32,Rams,Steven Jackson 5 yard rush (Greg Zuerlein kick),14,6
3.0,14:46,Rams,Lance Kendricks 80 yard pass from Sam Bradford (Greg Zuerlein kick),21,6
,10:47,Rams,Austin Pettis 5 yard pass from Sam Bradford (Greg Zuerlein kick),28,6
,8:50,Buccaneers,Mike Williams 61 yard pass from Josh Freeman (Connor Barth kick),28,13
