Unnamed: 0,STL,TAM
First Downs,14,23
Rush-Yds-TDs,27-89-1,22-80-0
Cmp-Att-Yd-TD-INT,13-27-196-2-1,30-54-372-1-4
Sacked-Yards,0-0,5-23
Net Pass Yards,196,349
Total Yards,285,429
Fumbles-Lost,1-1,2-1
Turnovers,2,5
Penalties-Yards,9-64,1-5
Third Down Conv.,4-11,8-17
Fourth Down Conv.,0-0,0-4
Time of Possession,24:01,35:59
