Quarter,Time,Tm,Detail,NYG,DAL
1.0,3:38,Cowboys,CeeDee Lamb 14 yard rush (Brandon Aubrey kick),0,7
2.0,8:48,Cowboys,Jake Ferguson 1 yard pass from Dak Prescott (Brandon Aubrey kick),0,14
,3:48,Cowboys,Brandin Cooks 10 yard pass from Dak Prescott (Brandon Aubrey kick),0,21
,0:16,Cowboys,Dak Prescott 10 yard rush (Brandon Aubrey kick),0,28
3.0,8:07,Giants,Lawrence Cager 10 yard pass from Tommy DeVito (Randy Bullock kick),7,28
,4:40,Cowboys,Michael Gallup 41 yard pass from Dak Prescott (Brandon Aubrey kick),7,35
,1:29,Cowboys,CeeDee Lamb 12 yard pass from Dak Prescott (Brandon Aubrey kick),7,42
4.0,8:54,Giants,Randy Bullock 40 yard field goal,10,42
,2:14,Cowboys,Rico Dowdle 1 yard rush (Brandon Aubrey kick),10,49
,0:06,Giants,Sterling Shepard 2 yard pass from Tommy DeVito (Randy Bullock kick),17,49
