Unnamed: 0,NYG,DAL
First Downs,16,32
Rush-Yds-TDs,23-111-0,33-168-3
Cmp-Att-Yd-TD-INT,14-27-86-2-1,33-44-472-4-2
Sacked-Yards,5-25,0-0
Net Pass Yards,61,472
Total Yards,172,640
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,2-5,9-83
Third Down Conv.,0-12,6-12
Fourth Down Conv.,2-3,1-2
Time of Possession,22:39,37:21
