Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Saquon Barkley,NYG,13,66,0,5,50,3.8,16,1.2,0,
Tommy DeVito,NYG,7,41,0,1,39,5.6,2,0.3,1,7.0
Matt Breida,NYG,1,3,0,,3,3.0,0,0.0,0,
Jashaun Corbin,NYG,1,1,0,1,1,1.0,0,0.0,0,
Wan'Dale Robinson,NYG,1,0,0,,0,0.0,0,0.0,1,1.0
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Tony Pollard,DAL,15,55,0,3,34,2.3,21,1.4,2,7.5
Rico Dowdle,DAL,12,79,1,5,49,4.1,30,2.5,1,12.0
Dak Prescott,DAL,2,17,1,2,17,8.5,0,0.0,0,
Cooper Rush,DAL,2,5,0,1,2,1.0,3,1.5,0,
CeeDee Lamb,DAL,1,14,1,1,14,14.0,0,0.0,0,
Deuce Vaughn,DAL,1,-2,0,,-2,-2.0,0,0.0,0,
