Unnamed: 0,ARI,WAS
First Downs,19,10
Rush-Yds-TDs,30-84-0,28-73-2
Cmp-Att-Yd-TD-INT,28-42-283-3-2,12-18-95-0-1
Sacked-Yards,1-3,1-8
Net Pass Yards,280,87
Total Yards,364,160
Fumbles-Lost,3-1,0-0
Turnovers,3,1
Penalties-Yards,9-75,6-53
Third Down Conv.,6-16,4-12
Fourth Down Conv.,1-2,0-0
Time of Possession,34:42,25:18
