Quarter,Time,Tm,Detail,DEN,SDG
1.0,11:15,Broncos,Demaryius Thomas 3 yard pass from Brock Osweiler (Brandon McManus kick),7,0
,0:04,Broncos,Danny Trevathan 25 yard interception return (Brandon McManus kick),14,0
2.0,5:26,Broncos,Brandon McManus 23 yard field goal,17,0
,1:41,Chargers,Josh Lambo 51 yard field goal,17,3
