Unnamed: 0,DEN,SDG
First Downs,19,15
Rush-Yds-TDs,39-134-0,23-93-0
Cmp-Att-Yd-TD-INT,16-26-166-1-1,18-35-202-0-1
Sacked-Yards,1-7,4-23
Net Pass Yards,159,179
Total Yards,293,272
Fumbles-Lost,0-0,4-2
Turnovers,1,3
Penalties-Yards,3-18,8-72
Third Down Conv.,6-13,5-14
Fourth Down Conv.,0-0,0-2
Time of Possession,32:57,27:03
