Quarter,Time,Tm,Detail,MIN,CHI
1.0,4:47,Bears,Desmond Clark 6 yard pass from Chad Hutchinson (Paul Edinger kick),0,7
,1:19,Vikings,Nate Burleson 4 yard pass from Daunte Culpepper (Morten Andersen kick),7,7
2.0,11:22,Bears,Paul Edinger 53 yard field goal,7,10
,2:23,Vikings,Marcus Robinson 40 yard pass from Daunte Culpepper (Morten Andersen kick),14,10
,0:22,Bears,David Terrell 15 yard pass from Chad Hutchinson (Paul Edinger kick),14,17
4.0,10:23,Bears,Jason McKie 5 yard pass from Chad Hutchinson (Paul Edinger kick),14,24
