Quarter,Time,Tm,Detail,SFO,SEA
1,9:12,Seahawks,Julius Jones 27 yard rush (Olindo Mare kick),0,7
,7:47,Seahawks,Craig Terrill 10 yard defensive fumble return (Olindo Mare kick),0,14
,2:36,49ers,Joe Nedney 26 yard field goal,3,14
2,7:22,49ers,Joe Nedney 28 yard field goal,6,14
,2:49,Seahawks,Olindo Mare 51 yard field goal,6,17
,1:42,49ers,Bryant Johnson 3 yard pass from J.T. O'Sullivan (Joe Nedney kick),13,17
,0:00,Seahawks,Olindo Mare 38 yard field goal,13,20
3,8:46,49ers,Patrick Willis 86 yard interception return (Joe Nedney kick),20,20
,6:41,49ers,Frank Gore 2 yard rush (Joe Nedney kick),27,20
4,14:20,Seahawks,T.J. Duckett 1 yard rush (Olindo Mare kick),27,27
,7:41,Seahawks,Olindo Mare 32 yard field goal,27,30
,2:42,49ers,Joe Nedney 28 yard field goal,30,30
OT,10:20,49ers,Joe Nedney 40 yard field goal,33,30
