Unnamed: 0,SFO,SEA
First Downs,20,22
Rush-Yds-TDs,23-93-1,34-169-2
Cmp-Att-Yd-TD-INT,20-32-321-1-0,18-36-189-0-2
Sacked-Yards,8-49,1-7
Net Pass Yards,272,182
Total Yards,365,351
Fumbles-Lost,2-1,2-1
Turnovers,1,3
Penalties-Yards,9-60,10-75
Third Down Conv.,5-14,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,34:28,30:12
