Unnamed: 0,BUF,NYJ
First Downs,15,13
Rush-Yds-TDs,19-53-0,33-118-0
Cmp-Att-Yd-TD-INT,24-41-202-0-2,11-17-130-3-0
Sacked-Yards,7-62,2-15
Net Pass Yards,140,115
Total Yards,193,233
Fumbles-Lost,2-2,0-0
Turnovers,4,0
Penalties-Yards,5-45,3-25
Third Down Conv.,5-15,4-11
Fourth Down Conv.,1-4,0-0
Time of Possession,32:08,27:52
