Unnamed: 0,NWE,TEN
First Downs,19,17
Rush-Yds-TDs,31-171-3,25-135-1
Cmp-Att-Yd-TD-INT,17-28-254-2-0,15-36-227-0-2
Sacked-Yards,2-11,5-20
Net Pass Yards,243,207
Total Yards,414,342
Fumbles-Lost,0-0,2-1
Turnovers,0,3
Penalties-Yards,9-129,10-119
Third Down Conv.,5-14,4-14
Fourth Down Conv.,1-1,0-1
Time of Possession,29:43,30:17
