Quarter,Time,Tm,Detail,NWE,TEN
1.0,9:22,Titans,Rob Bironas 25 yard field goal,0,3
,6:02,Patriots,Stephen Gostkowski 28 yard field goal,3,3
,1:48,Patriots,Corey Dillon 21 yard rush (Stephen Gostkowski kick failed),9,3
2.0,13:27,Patriots,Stephen Gostkowski 26 yard field goal,12,3
,4:59,Patriots,Corey Dillon 1 yard rush (Stephen Gostkowski kick),19,3
,0:32,Titans,Adam Jones 81 yard punt return (Rob Bironas kick),19,10
3.0,7:05,Titans,Rob Bironas 27 yard field goal,19,13
,6:49,Patriots,Reche Caldwell 62 yard pass from Tom Brady (Stephen Gostkowski kick),26,13
,4:26,Titans,Rob Bironas 27 yard field goal,26,16
,1:26,Titans,Vince Young 28 yard rush (Rob Bironas kick),26,23
4.0,6:40,Patriots,Laurence Maroney 1 yard rush (Stephen Gostkowski kick),33,23
,1:45,Patriots,Troy Brown 6 yard pass from Vinny Testaverde (Stephen Gostkowski kick),40,23
