Unnamed: 0,PIT,BUF
First Downs,16,22
Rush-Yds-TDs,21-75-0,25-117-0
Cmp-Att-Yd-TD-INT,18-32-188-1-0,30-51-270-1-0
Sacked-Yards,2-11,3-16
Net Pass Yards,177,254
Total Yards,252,371
Fumbles-Lost,1-0,4-1
Turnovers,0,1
Penalties-Yards,5-32,8-81
Third Down Conv.,4-12,8-18
Fourth Down Conv.,0-0,1-3
Time of Possession,26:43,33:17
